type,id,bnf_code,nm
amp,228711000001100,0205040D0AAAAAA,Doxazosin 1mg tablets (A A H Pharmaceuticals Ltd)
amp,252111000001100,0205040D0AAAAAA,Doxazosin 1mg tablets (Kent Pharmaceuticals Ltd)
amp,462611000001100,0205040D0AAAAAA,Doxazosin 1mg tablets (Sandoz Ltd)
amp,565111000001107,0205040D0AAAAAA,Doxazosin 1mg tablets (Mylan)
amp,647711000001101,0205040D0AAAAAA,Doxazosin 1mg tablets (Teva UK Ltd)
amp,854611000001108,0205040D0AAAAAA,Doxazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,870611000001103,0205040D0AAAAAA,Doxazosin 1mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,4250111000001105,0205040D0AAAAAA,Doxazosin 1mg tablets (Actavis UK Ltd)
amp,4469911000001108,0205040D0AAAAAA,Doxazosin 1mg tablets (Sterwin Medicines)
amp,9792611000001102,0205040D0AAAAAA,Doxazosin 1mg tablets (Almus Pharmaceuticals Ltd)
amp,10402811000001109,0205040D0AAAAAA,Doxazosin 1mg tablets (Arrow Generics Ltd)
amp,11554511000001109,0205040D0AAAAAA,Doxazosin 1mg tablets (Dexcel-Pharma Ltd)
amp,15082811000001106,0205040D0AAAAAA,Doxazosin 1mg tablets (Sigma Pharmaceuticals Plc)
amp,16049611000001105,0205040D0AAAAAA,Doxazosin 1mg tablets (Bristol Laboratories Ltd)
amp,17198011000001109,0205040D0AAAAAA,Doxazosin 1mg tablets (Sovereign Medical Ltd)
amp,17894011000001105,0205040D0AAAAAA,Doxazosin 1mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18071811000001103,0205040D0AAAAAA,Doxazosin 1mg tablets (Fannin UK Ltd)
amp,23591811000001109,0205040D0AAAAAA,Doxazosin 1mg tablets (Waymade Healthcare Plc)
amp,23970411000001101,0205040D0AAAAAA,Doxazosin 1mg tablets (DE Pharmaceuticals)
amp,30122411000001102,0205040D0AAAAAA,Doxazosin 1mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35141811000001104,0205040D0AAAAAA,Doxazosin 1mg tablets (Aurobindo Pharma Ltd)
amp,35981611000001106,0205040D0AAAAAA,Doxazosin 1mg tablets (Ennogen Pharma Ltd)
amp,225411000001101,0205040D0AAABAB,Doxazosin 2mg tablets (Kent Pharmaceuticals Ltd)
amp,430311000001102,0205040D0AAABAB,Doxazosin 2mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,464711000001104,0205040D0AAABAB,Doxazosin 2mg tablets (Sandoz Ltd)
amp,481211000001106,0205040D0AAABAB,Doxazosin 2mg tablets (Teva UK Ltd)
amp,554711000001100,0205040D0AAABAB,Doxazosin 2mg tablets (A A H Pharmaceuticals Ltd)
amp,559911000001102,0205040D0AAABAB,Doxazosin 2mg tablets (Sterwin Medicines)
amp,664711000001102,0205040D0AAABAB,Doxazosin 2mg tablets (Ranbaxy (UK) Ltd)
amp,674011000001107,0205040D0AAABAB,Doxazosin 2mg tablets (Mylan)
amp,840911000001105,0205040D0AAABAB,Doxazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,4250311000001107,0205040D0AAABAB,Doxazosin 2mg tablets (Actavis UK Ltd)
amp,9792911000001108,0205040D0AAABAB,Doxazosin 2mg tablets (Almus Pharmaceuticals Ltd)
amp,10403011000001107,0205040D0AAABAB,Doxazosin 2mg tablets (Arrow Generics Ltd)
amp,11554711000001104,0205040D0AAABAB,Doxazosin 2mg tablets (Dexcel-Pharma Ltd)
amp,14116711000001102,0205040D0AAABAB,Doxazosin 2mg tablets (Consilient Health Ltd)
amp,15083011000001109,0205040D0AAABAB,Doxazosin 2mg tablets (Sigma Pharmaceuticals Plc)
amp,16049911000001104,0205040D0AAABAB,Doxazosin 2mg tablets (Bristol Laboratories Ltd)
amp,17198311000001107,0205040D0AAABAB,Doxazosin 2mg tablets (Sovereign Medical Ltd)
amp,17894211000001100,0205040D0AAABAB,Doxazosin 2mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18072011000001101,0205040D0AAABAB,Doxazosin 2mg tablets (Fannin UK Ltd)
amp,19730311000001100,0205040D0AAABAB,Doxazosin 2mg tablets (Medreich Plc)
amp,23592011000001106,0205040D0AAABAB,Doxazosin 2mg tablets (Waymade Healthcare Plc)
amp,23970611000001103,0205040D0AAABAB,Doxazosin 2mg tablets (DE Pharmaceuticals)
amp,30122611000001104,0205040D0AAABAB,Doxazosin 2mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35142011000001102,0205040D0AAABAB,Doxazosin 2mg tablets (Aurobindo Pharma Ltd)
amp,35994611000001109,0205040D0AAABAB,Doxazosin 2mg tablets (Ennogen Pharma Ltd)
amp,210011000001108,0205040D0AAACAC,Doxazosin 4mg tablets (Kent Pharmaceuticals Ltd)
amp,221311000001106,0205040D0AAACAC,Doxazosin 4mg tablets (Mylan)
amp,525011000001104,0205040D0AAACAC,Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,578111000001109,0205040D0AAACAC,Doxazosin 4mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,588211000001106,0205040D0AAACAC,Doxazosin 4mg tablets (A A H Pharmaceuticals Ltd)
amp,653011000001107,0205040D0AAACAC,Doxazosin 4mg tablets (Teva UK Ltd)
amp,709511000001100,0205040D0AAACAC,Doxazosin 4mg tablets (Sterwin Medicines)
amp,761311000001108,0205040D0AAACAC,Doxazosin 4mg tablets (Sandoz Ltd)
amp,857111000001105,0205040D0AAACAC,Doxazosin 4mg tablets (Ranbaxy (UK) Ltd)
amp,4250511000001101,0205040D0AAACAC,Doxazosin 4mg tablets (Actavis UK Ltd)
amp,9793211000001105,0205040D0AAACAC,Doxazosin 4mg tablets (Almus Pharmaceuticals Ltd)
amp,10403311000001105,0205040D0AAACAC,Doxazosin 4mg tablets (Arrow Generics Ltd)
amp,11554911000001102,0205040D0AAACAC,Doxazosin 4mg tablets (Dexcel-Pharma Ltd)
amp,14117111000001100,0205040D0AAACAC,Doxazosin 4mg tablets (Consilient Health Ltd)
amp,15083211000001104,0205040D0AAACAC,Doxazosin 4mg tablets (Sigma Pharmaceuticals Plc)
amp,16050211000001103,0205040D0AAACAC,Doxazosin 4mg tablets (Bristol Laboratories Ltd)
amp,17198511000001101,0205040D0AAACAC,Doxazosin 4mg tablets (Sovereign Medical Ltd)
amp,17894411000001101,0205040D0AAACAC,Doxazosin 4mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18072211000001106,0205040D0AAACAC,Doxazosin 4mg tablets (Fannin UK Ltd)
amp,19730511000001106,0205040D0AAACAC,Doxazosin 4mg tablets (Medreich Plc)
amp,23592211000001101,0205040D0AAACAC,Doxazosin 4mg tablets (Waymade Healthcare Plc)
amp,23970811000001104,0205040D0AAACAC,Doxazosin 4mg tablets (DE Pharmaceuticals)
amp,30123811000001108,0205040D0AAACAC,Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35142211000001107,0205040D0AAACAC,Doxazosin 4mg tablets (Aurobindo Pharma Ltd)
amp,35994411000001106,0205040D0AAACAC,Doxazosin 4mg tablets (Ennogen Pharma Ltd)
amp,13975011000001100,0205040D0AAAFAF,Doxazosin 4mg capsules (Special Order)
amp,12071011000001100,0205040D0AAAHAH,Doxazosin 8mg/5ml oral suspension (Special Order)
amp,12071311000001102,0205040D0AAAHAH,Doxazosin 8mg/5ml oral solution (Special Order)
amp,12064811000001104,0205040D0AAAIAI,Doxazosin 2mg/5ml oral suspension (Special Order)
amp,12065111000001105,0205040D0AAAIAI,Doxazosin 2mg/5ml oral solution (Special Order)
amp,12066611000001107,0205040D0AAAKAK,Doxazosin 5mg/5ml oral suspension (Special Order)
amp,12067011000001102,0205040D0AAAKAK,Doxazosin 5mg/5ml oral solution (Special Order)
amp,12065411000001100,0205040D0AAAPAP,Doxazosin 3mg/5ml oral suspension (Special Order)
amp,12065711000001106,0205040D0AAAPAP,Doxazosin 3mg/5ml oral solution (Special Order)
amp,12067611000001109,0205040D0AAASAS,Doxazosin 6mg/5ml oral suspension (Special Order)
amp,12068111000001100,0205040D0AAASAS,Doxazosin 6mg/5ml oral solution (Special Order)
amp,23391211000001106,0205040D0AAAXAX,Doxazosin 4mg/5ml oral solution (Drug Tariff Special Order)
amp,8457811000001101,0205040D0AAAYAY,Doxazosin 4mg/5ml oral suspension (Drug Tariff Special Order)
amp,24434511000001108,0205040D0AAAZAZ,Doxazosin 1mg/5ml oral solution (Drug Tariff Special Order)
amp,8459911000001104,0205040D0AABABA,Doxazosin 1mg/5ml oral suspension (Drug Tariff Special Order)
amp,35997611000001103,0205040D0AABBBB,Doxazosin 8mg tablets (Ennogen Pharma Ltd)
amp,37180711000001106,0205040D0AABBBB,Doxazosin 8mg tablets (A A H Pharmaceuticals Ltd)
amp,37489611000001109,0205040D0AABBBB,Doxazosin 8mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,907711000001109,0205040D0BBAAAA,Cardura 1mg tablets (Upjohn UK Ltd)
amp,41811000001109,0205040D0BBABAB,Cardura 2mg tablets (Upjohn UK Ltd)
amp,123911000001106,0205040D0BBADAQ,Cardura XL 4mg tablets (Upjohn UK Ltd)
amp,873411000001109,0205040D0BBAEAR,Cardura XL 8mg tablets (Upjohn UK Ltd)
amp,4857511000001108,0205040D0BDAAAA,Doxadura 1mg tablets (Dexcel-Pharma Ltd)
amp,4857711000001103,0205040D0BDABAB,Doxadura 2mg tablets (Dexcel-Pharma Ltd)
amp,4858111000001103,0205040D0BDACAC,Doxadura 4mg tablets (Dexcel-Pharma Ltd)
amp,11269911000001101,0205040D0BDADAQ,Doxadura XL 4mg tablets (Dexcel-Pharma Ltd)
amp,11098311000001104,0205040D0BEAAAQ,Slocinx XL 4mg tablets (Zentiva)
amp,11757711000001107,0205040D0BFAAAQ,Colixil XL 4mg tablets (Sandoz Ltd)
amp,11752411000001104,0205040D0BGAAAQ,Cardozin XL 4mg tablets (Arrow Generics Ltd)
amp,18197411000001107,0205040D0BGABAQ,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd)
amp,11812211000001105,0205040D0BHAAAQ,Oxandosin XL 4mg tablets (Ratiopharm UK Ltd)
amp,13811611000001108,0205040D0BIAAAQ,Doxzogen XL 4mg tablets (Mylan)
amp,17338211000001104,0205040D0BJAAAQ,Larbex XL 4mg tablets (Teva UK Ltd)
amp,18164911000001108,0205040D0BKAAAQ,Raporsin XL 4mg tablets (Actavis UK Ltd)
amp,22380811000001105,0205040D0BKABAQ,Raporsin XL 4mg tablets (Arrow Generics Ltd)
amp,18033611000001101,0205040I0AAAAAA,Indoramin 25mg tablets (A A H Pharmaceuticals Ltd)
amp,18126411000001101,0205040I0AAAAAA,Indoramin 25mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18255411000001107,0205040I0AAAAAA,Indoramin 25mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,19706111000001106,0205040I0AAAAAA,Indoramin 25mg tablets (Advanz Pharma)
amp,19535711000001107,0205040M0AAACAC,Phenoxybenzamine 10mg capsules (Advanz Pharma)
amp,20011311000001104,0205040M0AAACAC,Phenoxybenzamine 10mg capsules (A A H Pharmaceuticals Ltd)
amp,20360311000001106,0205040M0AAACAC,Phenoxybenzamine 10mg capsules (Alliance Healthcare (Distribution) Ltd)
amp,22451111000001108,0205040M0AAACAC,Phenoxybenzamine 10mg capsules (DE Pharmaceuticals)
amp,13020811000001108,0205040M0AAANAN,Phenoxybenzamine 10mg/5ml oral suspension (Special Order)
amp,13021111000001107,0205040M0AAANAN,Phenoxybenzamine 10mg/5ml oral solution (Special Order)
amp,89711000001108,0205040S0AAABAB,Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd)
amp,259311000001106,0205040S0AAABAB,Prazosin 500microgram tablets (The Boots Company Plc)
amp,898711000001102,0205040S0AAABAB,Prazosin 500microgram tablets (IVAX Pharmaceuticals UK Ltd)
amp,83811000001102,0205040S0AAACAC,Prazosin 1mg tablets (The Boots Company Plc)
amp,559411000001105,0205040S0AAACAC,Prazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,778311000001107,0205040S0AAACAC,Prazosin 1mg tablets (A A H Pharmaceuticals Ltd)
amp,171211000001100,0205040S0AAADAD,Prazosin 2mg tablets (The Boots Company Plc)
amp,603711000001100,0205040S0AAADAD,Prazosin 2mg tablets (A A H Pharmaceuticals Ltd)
amp,703511000001102,0205040S0AAADAD,Prazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,24661311000001108,0205040S0AAADAD,Prazosin 2mg tablets (Special Order)
amp,342511000001100,0205040S0AAAEAE,Prazosin 5mg tablets (The Boots Company Plc)
amp,739211000001106,0205040S0AAAEAE,Prazosin 5mg tablets (A A H Pharmaceuticals Ltd)
amp,849411000001107,0205040S0AAAEAE,Prazosin 5mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,20275711000001104,0205040S0AAAEAE,Prazosin 5mg tablets (Special Order)
amp,13051711000001109,0205040S0AAAIAI,Prazosin 500micrograms/5ml oral suspension (Special Order)
amp,13052311000001101,0205040S0AAAIAI,Prazosin 500micrograms/5ml oral solution (Special Order)
amp,8648411000001104,0205040S0AAAKAK,Prazosin 1mg/5ml oral solution (Special Order)
amp,8649011000001103,0205040S0AAAKAK,Prazosin 1mg/5ml oral suspension (Special Order)
amp,321311000001100,0205040S0BBAAAB,Hypovase 500microgram tablets (Pfizer Ltd)
amp,347411000001101,0205040S0BBABAC,Hypovase 1mg tablets (Pfizer Ltd)
amp,150911000001104,0205040S0BBACAD,Hypovase 2mg tablets (Pfizer Ltd)
amp,27881811000001101,0205040S0BCABAD,Minipress 2mg tablets (Imported (Australia))
amp,3147311000001105,0205040V0AAABAB,Terazosin 2mg tablets (A A H Pharmaceuticals Ltd)
amp,3148211000001103,0205040V0AAABAB,Terazosin 2mg tablets (Teva UK Ltd)
amp,3149011000001103,0205040V0AAABAB,Terazosin 2mg tablets (Mylan)
amp,3149511000001106,0205040V0AAABAB,Terazosin 2mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,3150011000001108,0205040V0AAABAB,Terazosin 2mg tablets (Kent Pharmaceuticals Ltd)
amp,3697011000001101,0205040V0AAABAB,Terazosin 2mg tablets (Zentiva)
amp,3960511000001109,0205040V0AAABAB,Terazosin 2mg tablets (Actavis UK Ltd)
amp,4576811000001106,0205040V0AAABAB,Terazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,9696911000001102,0205040V0AAABAB,Terazosin 2mg tablets (Sandoz Ltd)
amp,10293311000001107,0205040V0AAABAB,Terazosin 2mg tablets (Focus Pharmaceuticals Ltd)
amp,10412611000001107,0205040V0AAABAB,Terazosin 2mg tablets (Arrow Generics Ltd)
amp,15229411000001101,0205040V0AAABAB,Terazosin 2mg tablets (Sigma Pharmaceuticals Plc)
amp,15976011000001104,0205040V0AAABAB,Terazosin 2mg tablets (Zanza Specials International Ltd)
amp,17813411000001103,0205040V0AAABAB,Terazosin 2mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18468911000001100,0205040V0AAABAB,Terazosin 2mg tablets (Accord Healthcare Ltd)
amp,21786411000001108,0205040V0AAABAB,Terazosin 2mg tablets (Waymade Healthcare Plc)
amp,37143011000001105,0205040V0AAABAB,Terazosin 2mg tablets (Mawdsley-Brooks & Company Ltd)
amp,37822611000001101,0205040V0AAABAB,Terazosin 2mg tablets (DE Pharmaceuticals)
amp,3153511000001106,0205040V0AAACAC,Terazosin 5mg tablets (A A H Pharmaceuticals Ltd)
amp,3155911000001103,0205040V0AAACAC,Terazosin 5mg tablets (Teva UK Ltd)
amp,3156311000001109,0205040V0AAACAC,Terazosin 5mg tablets (Mylan)
amp,3156811000001100,0205040V0AAACAC,Terazosin 5mg tablets (Kent Pharmaceuticals Ltd)
amp,3157711000001106,0205040V0AAACAC,Terazosin 5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,3697211000001106,0205040V0AAACAC,Terazosin 5mg tablets (Zentiva)
amp,3960911000001102,0205040V0AAACAC,Terazosin 5mg tablets (Actavis UK Ltd)
amp,4577111000001101,0205040V0AAACAC,Terazosin 5mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,9698111000001101,0205040V0AAACAC,Terazosin 5mg tablets (Sandoz Ltd)
amp,10292711000001103,0205040V0AAACAC,Terazosin 5mg tablets (Focus Pharmaceuticals Ltd)
amp,10413011000001109,0205040V0AAACAC,Terazosin 5mg tablets (Arrow Generics Ltd)
amp,15229611000001103,0205040V0AAACAC,Terazosin 5mg tablets (Sigma Pharmaceuticals Plc)
amp,15976211000001109,0205040V0AAACAC,Terazosin 5mg tablets (Zanza Specials International Ltd)
amp,17814311000001107,0205040V0AAACAC,Terazosin 5mg tablets (Phoenix Healthcare Distribution Ltd)
amp,20170111000001105,0205040V0AAACAC,Terazosin 5mg tablets (Accord Healthcare Ltd)
amp,21786611000001106,0205040V0AAACAC,Terazosin 5mg tablets (Waymade Healthcare Plc)
amp,37143411000001101,0205040V0AAACAC,Terazosin 5mg tablets (Mawdsley-Brooks & Company Ltd)
amp,37822811000001102,0205040V0AAACAC,Terazosin 5mg tablets (DE Pharmaceuticals)
amp,3150511000001100,0205040V0AAADAD,Terazosin 10mg tablets (A A H Pharmaceuticals Ltd)
amp,3151411000001108,0205040V0AAADAD,Terazosin 10mg tablets (Teva UK Ltd)
amp,3152011000001107,0205040V0AAADAD,Terazosin 10mg tablets (Mylan)
amp,3152511000001104,0205040V0AAADAD,Terazosin 10mg tablets (Kent Pharmaceuticals Ltd)
amp,3153011000001103,0205040V0AAADAD,Terazosin 10mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,3697411000001105,0205040V0AAADAD,Terazosin 10mg tablets (Zentiva)
amp,3961411000001101,0205040V0AAADAD,Terazosin 10mg tablets (Actavis UK Ltd)
amp,4577311000001104,0205040V0AAADAD,Terazosin 10mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,9698511000001105,0205040V0AAADAD,Terazosin 10mg tablets (Sandoz Ltd)
amp,10294011000001106,0205040V0AAADAD,Terazosin 10mg tablets (Focus Pharmaceuticals Ltd)
amp,10413211000001104,0205040V0AAADAD,Terazosin 10mg tablets (Arrow Generics Ltd)
amp,15229211000001100,0205040V0AAADAD,Terazosin 10mg tablets (Sigma Pharmaceuticals Plc)
amp,15976411000001108,0205040V0AAADAD,Terazosin 10mg tablets (Zanza Specials International Ltd)
amp,17814711000001106,0205040V0AAADAD,Terazosin 10mg tablets (Phoenix Healthcare Distribution Ltd)
amp,37823011000001104,0205040V0AAADAD,Terazosin 10mg tablets (DE Pharmaceuticals)
amp,3147611000001100,0205040V0BBABAB,Hytrin 2mg tablets (Advanz Pharma)
amp,3154311000001103,0205040V0BBACAC,Hytrin 5mg tablets (Advanz Pharma)
amp,3150911000001107,0205040V0BBADAD,Hytrin 10mg tablets (Advanz Pharma)
amp,33628611000001102,0205040V0BCABAC,Benph 5mg tablets (Mylan)
vmp,318781001,0205040D0AAAAAA,Doxazosin 1mg tablets
vmp,318782008,0205040D0AAABAB,Doxazosin 2mg tablets
vmp,318783003,0205040D0AAACAC,Doxazosin 4mg tablets
vmp,14013011000001104,0205040D0AAAFAF,Doxazosin 4mg capsules
vmp,12084711000001105,0205040D0AAAHAH,Doxazosin 8mg/5ml oral solution
vmp,12084811000001102,0205040D0AAAHAH,Doxazosin 8mg/5ml oral suspension
vmp,12083511000001103,0205040D0AAAIAI,Doxazosin 2mg/5ml oral solution
vmp,12083611000001104,0205040D0AAAIAI,Doxazosin 2mg/5ml oral suspension
vmp,12084111000001109,0205040D0AAAKAK,Doxazosin 5mg/5ml oral solution
vmp,12084211000001103,0205040D0AAAKAK,Doxazosin 5mg/5ml oral suspension
vmp,12083711000001108,0205040D0AAAPAP,Doxazosin 3mg/5ml oral solution
vmp,12083811000001100,0205040D0AAAPAP,Doxazosin 3mg/5ml oral suspension
vmp,134456001,0205040D0AAAQAQ,Doxazosin 4mg modified-release tablets
vmp,135921004,0205040D0AAARAR,Doxazosin 8mg modified-release tablets
