type,id,bnf_code,nm
amp,164711000001103,020400060AAAAAA,Celiprolol 200mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,339411000001106,020400060AAAAAA,Celiprolol 200mg tablets (Sterwin Medicines)
amp,354811000001105,020400060AAAAAA,Celiprolol 200mg tablets (Mylan)
amp,607511000001100,020400060AAAAAA,Celiprolol 200mg tablets (Kent Pharmaceuticals Ltd)
amp,735811000001109,020400060AAAAAA,Celiprolol 200mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,742311000001105,020400060AAAAAA,Celiprolol 200mg tablets (A A H Pharmaceuticals Ltd)
amp,749111000001104,020400060AAAAAA,Celiprolol 200mg tablets (Teva UK Ltd)
amp,4566011000001107,020400060AAAAAA,Celiprolol 200mg tablets (Actavis UK Ltd)
amp,7457411000001105,020400060AAAAAA,Celiprolol 200mg tablets (Ranbaxy (UK) Ltd)
amp,17853311000001102,020400060AAAAAA,Celiprolol 200mg tablets (Phoenix Healthcare Distribution Ltd)
amp,21831611000001108,020400060AAAAAA,Celiprolol 200mg tablets (Waymade Healthcare Plc)
amp,23788611000001100,020400060AAAAAA,Celiprolol 200mg tablets (DE Pharmaceuticals)
amp,30012711000001106,020400060AAAAAA,Celiprolol 200mg tablets (Mawdsley-Brooks & Company Ltd)
amp,111000001107,020400060AAABAB,Celiprolol 400mg tablets (Sterwin Medicines)
amp,93711000001109,020400060AAABAB,Celiprolol 400mg tablets (Teva UK Ltd)
amp,141911000001108,020400060AAABAB,Celiprolol 400mg tablets (A A H Pharmaceuticals Ltd)
amp,328311000001107,020400060AAABAB,Celiprolol 400mg tablets (Kent Pharmaceuticals Ltd)
amp,684111000001100,020400060AAABAB,Celiprolol 400mg tablets (Mylan)
amp,881311000001109,020400060AAABAB,Celiprolol 400mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,3702811000001104,020400060AAABAB,Celiprolol 400mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,7457611000001108,020400060AAABAB,Celiprolol 400mg tablets (Ranbaxy (UK) Ltd)
amp,17853511000001108,020400060AAABAB,Celiprolol 400mg tablets (Phoenix Healthcare Distribution Ltd)
amp,18164711000001106,020400060AAABAB,Celiprolol 400mg tablets (Actavis UK Ltd)
