CTV3ID,CTV3PreferredTermDesc
Y22aa,Signposting to CHMS (COVID-19 Home Management Service) (procedure)
Y213a,Antigen of 2019-nCoV (novel coronavirus)
Y240b,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) qualitative existence in specimen
Y20fa,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y228d,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed by laboratory test (situation)
Y20d1,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive
A795.,Coronavirus infection
X73lE,Coronavirus
X73lF,Human coronavirus
Y210b,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y23f7,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result positive
AyuDC,"[X]Coronavirus infection, unspecified"
XaLTE,Coronavirus nucleic acid detection
Y211c,Serotype 2019-nCoV (novel coronavirus)
Y228e,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 confirmed using clinical diagnostic criteria (situation)
A7y00,Coronavirus as cause of dis classified to other chapters
Y246c,"Provision of advice, assessment or treatment delayed due to coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 pandemic (situation)"
Y20fa,Coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y210a,Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y20fc,Gastroenteritis caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y20fe,Myocarditis caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y20ff,Otitis media caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y20fb,Encephalopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y23fd,Cardiomyopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)
Y22a4,Assessment using coronavirus disease 19 severity scale (procedure)
Y229c,Coronavirus disease 19 severity score (observable entity)
Y22a5,Coronavirus disease 19 severity scale (assessment scale)
