type,id,bnf_code,nm
amp,1711000001109,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Actavis UK Ltd)
amp,288611000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,454811000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Wockhardt UK Ltd)
amp,464311000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,516711000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (The Boots Company Plc)
amp,750511000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Kent Pharmaceuticals Ltd)
amp,772511000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (A A H Pharmaceuticals Ltd)
amp,779811000001105,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Teva UK Ltd)
amp,914811000001108,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Mylan)
amp,7487011000001109,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sandoz Ltd)
amp,9792811000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd)
amp,10383911000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Arrow Generics Ltd)
amp,11009711000001106,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
amp,15986611000001101,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Bristol Laboratories Ltd)
amp,17195711000001104,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sovereign Medical Ltd)
amp,17796011000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
amp,20323211000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd)
amp,21782411000001107,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Waymade Healthcare Plc)
amp,22616411000001103,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (DE Pharmaceuticals)
amp,28947811000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Crescent Pharma Ltd)
amp,29774011000001106,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Sigma Pharmaceuticals Plc)
amp,29998911000001102,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
amp,35194911000001100,0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets (NorthStar Healthcare Unlimited Company)
