parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model3"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	1.086706	.01947904	4.6388721	3.503e-06	1.0491906	1.1255628	"model3"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.91604436	.00572961	-14.019872	1.178e-44	.90488309	.9273433	"model3"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.98188878	.02843026	-.63123616	.52788612	.92771812	1.0392225	"model3"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	1.2357203	.03707957	7.0536198	1.743e-12	1.1651414	1.3105745	"model3"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	1.1043986	.03438911	3.1890269	.00142753	1.0390127	1.1738993	"model3"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.98198758	.02445434	-.72989977	.46545145	.93520884	1.0311062	"model3"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	1.1665367	.00888779	20.217901	6.812e-91	1.1492463	1.1840871	"model3"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	.90458058	.00946461	-9.5846425	9.278e-22	.8862192	.92332238	"model3"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.66319049	.0157329	-17.311986	3.820e-67	.63306047	.69475452	"model3"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	1.0860139	.01256253	7.1332204	9.805e-13	1.0616688	1.1109172	"model3"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.97955331	.01710074	-1.1833535	.23666909	.94660342	1.0136501	"model3"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	1.1259487	.01446794	9.2319133	2.658e-20	1.0979462	1.1546655	"model3"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.98242467	.02106606	-.82692117	.40828174	.94199155	1.0245933	"model3"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.59568227	.02004638	-15.393897	1.799e-53	.55765982	.63629718	"model3"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.96544147	.01290152	-2.6318132	.00849305	.94048323	.99106204	"model3"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.97458899	.00350101	-7.1651854	7.768e-13	.96775123	.98147505	"model3"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"tested"	""
"1.male"	"Male"	.83194357	.00238004	-64.314092	0	.82729184	.83662146	"model3"	"tested"	""
