parm	label	estimate	stderr	z	p	min95	max95	model
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"
"2.ethnicity_16"	"Eth 16 categories"	1.1440701	.05998212	2.5671458	.01025395	1.0323459	1.2678855	"model0"
"3.ethnicity_16"	"Eth 16 categories"	1.4366627	.02317297	22.463057	9.54e-112	1.3919549	1.4828064	"model0"
"4.ethnicity_16"	"Eth 16 categories"	1.3571338	.1060535	3.9077892	.00009314	1.1644085	1.5817578	"model0"
"5.ethnicity_16"	"Eth 16 categories"	2.0178066	.14092188	10.051829	9.018e-24	1.7596746	2.3138049	"model0"
"6.ethnicity_16"	"Eth 16 categories"	1.8245606	.13525784	8.1117648	4.989e-16	1.5778192	2.1098877	"model0"
"7.ethnicity_16"	"Eth 16 categories"	1.5391228	.09954265	6.6673852	2.604e-11	1.3558819	1.7471277	"model0"
"8.ethnicity_16"	"Eth 16 categories"	2.412235	.04517518	47.019232	0	2.3252985	2.5024218	"model0"
"9.ethnicity_16"	"Eth 16 categories"	3.2050965	.06453011	57.850689	0	3.0810828	3.3341018	"model0"
"10.ethnicity_16"	"Eth 16 categories"	2.1150909	.11736034	13.500387	1.556e-41	1.8971353	2.3580868	"model0"
"11.ethnicity_16"	"Eth 16 categories"	2.7664282	.07152767	39.355375	0	2.6297294	2.9102328	"model0"
"12.ethnicity_16"	"Eth 16 categories"	1.8207332	.08202597	13.301334	2.274e-40	1.6668586	1.9888125	"model0"
"13.ethnicity_16"	"Eth 16 categories"	2.2718777	.06568203	28.383989	3.19e-177	2.1467227	2.4043293	"model0"
"14.ethnicity_16"	"Eth 16 categories"	1.807321	.09852527	10.856657	1.854e-27	1.6241736	2.0111208	"model0"
"15.ethnicity_16"	"Eth 16 categories"	1.1447344	.09784615	1.5814293	.11377991	.96816259	1.353509	"model0"
"16.ethnicity_16"	"Eth 16 categories"	1.9959601	.06449286	21.389318	1.68e-101	1.8734758	2.1264521	"model0"
"17.ethnicity_16"	"Eth 16 categories"	1.1470982	.01082314	14.544993	6.284e-48	1.1260802	1.1685085	"model0"
"0b.male"	"Male"	1	0			1	1	"model0"
"1.male"	"Male"	1.1039132	.00836369	13.048581	6.474e-39	1.0876418	1.120428	"model0"
"age1"	"Age spline 1"	1.016727	.00122317	13.788819	2.976e-43	1.0143324	1.0191272	"model0"
"age2"	"Age spline 2"	.95677004	.00365618	-11.564476	6.237e-31	.94963084	.96396292	"model0"
"age3"	"Age spline 3"	1.1754028	.0122363	15.524136	2.382e-54	1.1516631	1.1996319	"model0"
"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"
"2.stp"	"Sustainability and Transformation Partnership"	1.3611138	.40766968	1.0293527	.30331398	.75674488	2.4481576	"model0"
"3.stp"	"Sustainability and Transformation Partnership"	1.0615512	.31825053	.19923858	.84207612	.58986517	1.9104213	"model0"
