eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.eth5"	"Eth 5 categories"	1.3309775	.17978223	2.1166977	.03428551	1.0213965	1.7343911	"crude"	"ventilated"
"ventilated"	"3.eth5"	"Eth 5 categories"	1.0789753	.19434466	.42200717	.67301978	.75804218	1.5357822	"crude"	"ventilated"
"ventilated"	"4.eth5"	"Eth 5 categories"	1.0045449	.29592762	.01539314	.98771853	.56391675	1.7894672	"crude"	"ventilated"
"ventilated"	"5.eth5"	"Eth 5 categories"	1.4800651	.38693786	1.4997575	.13367724	.88664272	2.4706601	"crude"	"ventilated"
"ventilated"	"6.eth5"	"Eth 5 categories"	1.1102135	.1124594	1.0321537	.30200012	.9102984	1.3540329	"crude"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	1.0793102	.19293896	.42694976	.66941592	.76029884	1.5321745	"crude"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.59163311	.13285108	-2.3374264	.01941702	.38099155	.91873358	"crude"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	3.6574491	1.8724798	2.5329275	.01131143	1.3408937	9.9761335	"crude"	"ventilated"
"ventilated"	"5.stp"	"Sustainability and Transformation Partnership"	1.0690286	.37147653	.19209306	.84766931	.54101022	2.1123855	"crude"	"ventilated"
"ventilated"	"6.stp"	"Sustainability and Transformation Partnership"	.97571353	.1967396	-.12193343	.90295174	.65718692	1.4486242	"crude"	"ventilated"
"ventilated"	"7.stp"	"Sustainability and Transformation Partnership"	2.4810182	2.053526	1.097831	.27227828	.48988579	12.565074	"crude"	"ventilated"
"ventilated"	"8.stp"	"Sustainability and Transformation Partnership"	2.087185	.52895322	2.9034414	.00369086	1.2701113	3.4298893	"crude"	"ventilated"
"ventilated"	"9.stp"	"Sustainability and Transformation Partnership"	1.9520275	.69459333	1.8797327	.06014452	.97185482	3.9207617	"crude"	"ventilated"
"ventilated"	"10.stp"	"Sustainability and Transformation Partnership"	4.1807727	1.2733348	4.6967846	2.643e-06	2.3014776	7.5946255	"crude"	"ventilated"
"ventilated"	"11.stp"	"Sustainability and Transformation Partnership"	2.6253311	.69245822	3.6594092	.0002528	1.5655642	4.402479	"crude"	"ventilated"
"ventilated"	"12.stp"	"Sustainability and Transformation Partnership"	1.8649948	.52142138	2.22924	.02579794	1.0781915	3.2259627	"crude"	"ventilated"
"ventilated"	"13.stp"	"Sustainability and Transformation Partnership"	5.2198248	1.7651933	4.8864741	1.027e-06	2.6903219	10.127625	"crude"	"ventilated"
"ventilated"	"14.stp"	"Sustainability and Transformation Partnership"	2.3039291	.7202037	2.6699334	.00758663	1.2484903	4.2516062	"crude"	"ventilated"
"ventilated"	"15.stp"	"Sustainability and Transformation Partnership"	1.6109868	.36517118	2.1036548	.03540857	1.0331074	2.5121091	"crude"	"ventilated"
"ventilated"	"16.stp"	"Sustainability and Transformation Partnership"	.85927827	.24741719	-.52672272	.59838615	.48869987	1.5108642	"crude"	"ventilated"
"ventilated"	"17.stp"	"Sustainability and Transformation Partnership"	4.4832305	1.5864436	4.2399159	.00002236	2.2406985	8.9701292	"crude"	"ventilated"
"ventilated"	"18.stp"	"Sustainability and Transformation Partnership"	1.8463874	.38807771	2.9176164	.00352718	1.2229689	2.7875984	"crude"	"ventilated"
"ventilated"	"19.stp"	"Sustainability and Transformation Partnership"	1.8464174	.41354937	2.7380294	.00618085	1.1903726	2.8640253	"crude"	"ventilated"
"ventilated"	"20.stp"	"Sustainability and Transformation Partnership"	1.2575944	.23356433	1.2340989	.21716606	.87388201	1.8097908	"crude"	"ventilated"
"ventilated"	"21.stp"	"Sustainability and Transformation Partnership"	2.8839351	.58800629	5.194734	2.050e-07	1.9338989	4.3006806	"crude"	"ventilated"
"ventilated"	"22.stp"	"Sustainability and Transformation Partnership"	1.4374649	.75188941	.69375742	.48783435	.51565882	4.0071174	"crude"	"ventilated"
"ventilated"	"23.stp"	"Sustainability and Transformation Partnership"	1.3024455	.34964067	.98433342	.3249516	.76958229	2.2042664	"crude"	"ventilated"
"ventilated"	"24o.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"25.stp"	"Sustainability and Transformation Partnership"	.32999277	.27970057	-1.3080341	.19086174	.06266562	1.7377188	"crude"	"ventilated"
"ventilated"	"26.stp"	"Sustainability and Transformation Partnership"	3.5011242	1.5404405	2.8480186	.00439924	1.4780598	8.293217	"crude"	"ventilated"
"ventilated"	"27.stp"	"Sustainability and Transformation Partnership"	3.6217413	1.2125182	3.8440808	.00012101	1.8790777	6.9805575	"crude"	"ventilated"
"ventilated"	"28.stp"	"Sustainability and Transformation Partnership"	1.3371867	.41109339	.94514659	.34458404	.73199112	2.4427457	"crude"	"ventilated"
"ventilated"	"29.stp"	"Sustainability and Transformation Partnership"	2.2569984	.70598818	2.6024197	.00925685	1.2225757	4.1666474	"crude"	"ventilated"
"ventilated"	"30.stp"	"Sustainability and Transformation Partnership"	1.6753229	.57184069	1.5117438	.13059906	.85813682	3.2706987	"crude"	"ventilated"
"ventilated"	"31o.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"32o.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"_cons"	"Constant"	1.1938398	.1630005	1.2976549	.19440593	.91353999	1.5601436	"crude"	"ventilated"
"ventilated"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"2.eth5"	"Eth 5 categories"	1.3112571	.18211415	1.9511538	.05103875	.99877715	1.7215003	"model0"	"ventilated"
"ventilated"	"3.eth5"	"Eth 5 categories"	1.0378661	.19046522	.20252592	.8395056	.72432267	1.4871356	"model0"	"ventilated"
"ventilated"	"4.eth5"	"Eth 5 categories"	1.0277786	.30709752	.09170013	.92693629	.57221969	1.8460197	"model0"	"ventilated"
"ventilated"	"5.eth5"	"Eth 5 categories"	1.3862194	.36503976	1.2401712	.2149121	.82733427	2.3226455	"model0"	"ventilated"
"ventilated"	"6.eth5"	"Eth 5 categories"	1.1299608	.11641382	1.1859581	.23563887	.92335482	1.382796	"model0"	"ventilated"
"ventilated"	"0b.male"	"Male"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"1.male"	"Male"	1.5512774	.13351814	5.1014264	3.371e-07	1.3104689	1.8363363	"model0"	"ventilated"
"ventilated"	"age1"	"Age spline 1"	1.0166678	.02545784	.66014698	.50915951	.96797596	1.0678089	"model0"	"ventilated"
"ventilated"	"age2"	"Age spline 2"	1.0729898	.0706332	1.070191	.28453332	.94311002	1.2207559	"model0"	"ventilated"
"ventilated"	"age3"	"Age spline 3"	.69881119	.12011601	-2.084953	.03707357	.49894197	.97874524	"model0"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	1.0945673	.19868695	.4977887	.61863298	.76688723	1.5622604	"model0"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.5976529	.13655826	-2.2528035	.02427154	.38190664	.93527829	"model0"	"ventilated"
