parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0550042	.00610683	9.2502852	2.239e-20	1.0431027	1.0670415	"model3"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.0661156	.01018578	6.7009702	2.070e-11	1.0463376	1.0862675	"model3"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.0663695	.0153027	4.4779547	7.536e-06	1.0367946	1.096788	"model3"	"tested"	""
"5.eth5"	"Eth 5 categories"	.90231269	.01121918	-8.2673134	1.370e-16	.88058928	.924572	"model3"	"tested"	""
"6.eth5"	"Eth 5 categories"	.980799	.00348919	-5.4498186	5.042e-08	.97398409	.98766159	"model3"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"tested"	""
"1.male"	"Male"	.83251107	.00238159	-64.07763	0	.82785631	.83719201	"model3"	"tested"	""
"age1"	"Age spline 1"	1.0082571	.00054912	15.098981	1.645e-51	1.0071814	1.0093339	"model3"	"tested"	""
"age2"	"Age spline 2"	.91517876	.00148243	-54.719283	0	.91227786	.9180889	"model3"	"tested"	""
"age3"	"Age spline 3"	1.3246204	.00575943	64.656616	0	1.3133801	1.3359569	"model3"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0251875	.00455888	5.5939318	2.220e-08	1.0162911	1.0341618	"model3"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0695837	.00475327	15.137017	9.231e-52	1.0603079	1.0789407	"model3"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1098859	.00495546	23.350713	1.36e-120	1.1002158	1.1196411	"model3"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.1080203	.00518275	21.929501	1.36e-106	1.0979087	1.118225	"model3"	"tested"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0027285	.00024231	11.275632	1.731e-29	1.0022537	1.0032036	"model3"	"tested"	""
"hba1c_pct"	"HbA1c %"	1.0148077	.00178235	8.3691481	5.804e-17	1.0113203	1.0183071	"model3"	"tested"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0103647	.00005284	197.17857	0	1.0102611	1.0104683	"model3"	"tested"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"tested"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0724491	.00333494	22.492883	4.87e-112	1.0659326	1.0790054	"model3"	"tested"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0713398	.0045966	16.061022	4.786e-58	1.0623685	1.080387	"model3"	"tested"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"tested"	""
"1.hypertension"	"Diagnosed hypertension"	.99064517	.00333083	-2.7953829	.00518383	.98413834	.99719503	"model3"	"tested"	""
"bp_map"	"Mean Arterial Pressure"	1.0000615	.00001003	6.1268122	8.966e-10	1.0000418	1.0000811	"model3"	"tested"	""
"0b.asthma"	"Asthma category"	1	0			1	1	"model3"	"tested"	""
"1.asthma"	"Asthma category"	1.0895246	.00383025	24.389384	2.22e-131	1.0820432	1.0970577	"model3"	"tested"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"tested"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.3191273	.00623252	58.621433	0	1.3069682	1.3313996	"model3"	"tested"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"tested"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.4299121	.00558871	91.497965	0	1.4190003	1.4409078	"model3"	"tested"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"	"tested"	""
"1.dm_type"	"Diabetes Type"	1.1631761	.01469701	11.962914	5.558e-33	1.1347243	1.1923414	"model3"	"tested"	""
"2.dm_type"	"Diabetes Type"	1.0592368	.00519593	11.731804	8.757e-32	1.0491018	1.0694698	"model3"	"tested"	""
"3.dm_type"	"Diabetes Type"	.99577252	.00694608	-.60732562	.54363484	.98225108	1.0094801	"model3"	"tested"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"tested"	""
"1.cancer"	"Cancer"	1.6632082	.00692836	122.12906	0	1.6496842	1.6768431	"model3"	"tested"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"tested"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.65608	.01757849	47.524865	0	1.6219827	1.6908941	"model3"	"tested"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"tested"	""
"1.stroke"	"Stroke"	1.4542187	.00824636	66.036326	0	1.4381456	1.4704714	"model3"	"tested"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"tested"	""
"1.dementia"	"Dementia"	1.9127332	.02446603	50.701779	0	1.8653768	1.9612919	"model3"	"tested"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"tested"	""
"1.other_neuro"	"Neurological disease"	1.4441132	.01326654	40.003287	0	1.418344	1.4703506	"model3"	"tested"	""
