outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"suspected"	"crude"	"White"	1		1	1	""	1	"Crude"
"suspected"	"crude"	"South Asian"	.95141008	1.620e-21	.94171041	.96120966	""	2	"Crude"
"suspected"	"crude"	"Black"	.95583993	2.814e-07	.93950509	.97245877	""	3	"Crude"
"suspected"	"crude"	"Mixed"	.86691596	2.557e-28	.84520499	.88918463	""	4	"Crude"
"suspected"	"crude"	"Other"	.56469702	0	.55194235	.57774642	""	5	"Crude"
"suspected"	"model0"	"White"	1		1	1	""	6	"Age-sex"
"suspected"	"model0"	"South Asian"	1.0971357	2.162e-63	1.085339	1.1090606	""	7	"Age-sex"
"suspected"	"model0"	"Black"	1.1196819	1.741e-36	1.1001883	1.1395208	""	8	"Age-sex"
"suspected"	"model0"	"Mixed"	1.0451596	.00069226	1.0188273	1.0721724	""	9	"Age-sex"
"suspected"	"model0"	"Other"	.69221033	2.78e-214	.67641892	.7083704	""	10	"Age-sex"
"suspected"	"model1"	"White"	1		1	1	""	11	"Age-sex-IMD"
"suspected"	"model1"	"South Asian"	1.0348353	8.814e-10	1.0235665	1.0462282	""	12	"Age-sex-IMD"
"suspected"	"model1"	"Black"	1.0372219	.00005548	1.0189549	1.0558163	""	13	"Age-sex-IMD"
"suspected"	"model1"	"Mixed"	1.0066428	.61385988	.98108396	1.0328675	""	14	"Age-sex-IMD"
"suspected"	"model1"	"Other"	.67460618	3.42e-242	.65912648	.69044942	""	15	"Age-sex-IMD"
"suspected"	"model2"	"White"	1		1	1	""	16	"+ co-morbidities"
"suspected"	"model2"	"South Asian"	1.0648797	6.440e-24	1.0519493	1.077969	""	17	"+ co-morbidities"
"suspected"	"model2"	"Black"	1.0891582	9.216e-18	1.0681234	1.1106072	""	18	"+ co-morbidities"
"suspected"	"model2"	"Mixed"	1.0410546	.00482541	1.0123307	1.0705936	""	19	"+ co-morbidities"
"suspected"	"model2"	"Other"	.78687617	1.089e-76	.76718267	.8070752	""	20	"+ co-morbidities"
"suspected"	"model3"	"White"	1		1	1	""	21	"+ household size & carehome"
"suspected"	"model3"	"South Asian"	1.0776708	1.234e-28	1.0635323	1.0919973	""	22	"+ household size & carehome"
"suspected"	"model3"	"Black"	1.1016352	1.394e-20	1.0793918	1.124337	""	23	"+ household size & carehome"
"suspected"	"model3"	"Mixed"	1.0405829	.0080871	1.0103946	1.0716732	""	24	"+ household size & carehome"
"suspected"	"model3"	"Other"	.79860961	3.220e-61	.77756877	.82021982	""	25	"+ household size & carehome"
"confirmed"	"crude"	"White"	1		1	1	""	26	"Crude"
"confirmed"	"crude"	"South Asian"	2.4030499	0	2.3437709	2.4638282	""	27	"Crude"
"confirmed"	"crude"	"Black"	1.4891954	3.036e-53	1.4154116	1.5668255	""	28	"Crude"
"confirmed"	"crude"	"Mixed"	1.1080829	.01426552	1.0207573	1.2028792	""	29	"Crude"
"confirmed"	"crude"	"Other"	.89362512	.00097123	.83586086	.95538133	""	30	"Crude"
"confirmed"	"model0"	"White"	1		1	1	""	31	"Age-sex"
"confirmed"	"model0"	"South Asian"	2.7905979	0	2.7147835	2.8685294	""	32	"Age-sex"
"confirmed"	"model0"	"Black"	1.8570193	3.03e-120	1.7628678	1.9561992	""	33	"Age-sex"
"confirmed"	"model0"	"Mixed"	1.5181113	4.230e-23	1.3976679	1.6489338	""	34	"Age-sex"
"confirmed"	"model0"	"Other"	1.2352681	9.422e-10	1.1544335	1.3217629	""	35	"Age-sex"
"confirmed"	"model1"	"White"	1		1	1	""	36	"Age-sex-IMD"
"confirmed"	"model1"	"South Asian"	2.5638937	0	2.4928647	2.6369465	""	37	"Age-sex-IMD"
"confirmed"	"model1"	"Black"	1.6635364	4.540e-80	1.5782274	1.7534567	""	38	"Age-sex-IMD"
"confirmed"	"model1"	"Mixed"	1.4301291	4.049e-17	1.3157433	1.5544592	""	39	"Age-sex-IMD"
"confirmed"	"model1"	"Other"	1.1831245	1.254e-06	1.1053485	1.2663731	""	40	"Age-sex-IMD"
"confirmed"	"model2"	"White"	1		1	1	""	41	"+ co-morbidities"
"confirmed"	"model2"	"South Asian"	2.4014482	0	2.3254249	2.4799569	""	42	"+ co-morbidities"
"confirmed"	"model2"	"Black"	1.5839482	7.649e-54	1.4941723	1.6791182	""	43	"+ co-morbidities"
"confirmed"	"model2"	"Mixed"	1.5068187	2.377e-19	1.3780324	1.6476409	""	44	"+ co-morbidities"
"confirmed"	"model2"	"Other"	1.3141581	9.794e-13	1.2191243	1.4166	""	45	"+ co-morbidities"
"confirmed"	"model3"	"White"	1		1	1	""	46	"+ household size & carehome"
"confirmed"	"model3"	"South Asian"	2.4252788	0	2.3392257	2.5144975	""	47	"+ household size & carehome"
"confirmed"	"model3"	"Black"	1.6285188	5.759e-53	1.5300101	1.7333699	""	48	"+ household size & carehome"
"confirmed"	"model3"	"Mixed"	1.5277161	4.496e-18	1.388084	1.6813942	""	49	"+ household size & carehome"
"confirmed"	"model3"	"Other"	1.3402313	1.688e-12	1.2355586	1.4537715	""	50	"+ household size & carehome"
"tested"	"crude"	"White"	1		1	1	""	51	"Crude"
"tested"	"crude"	"South Asian"	1.0719019	9.424e-68	1.0635474	1.080322	""	52	"Crude"
"tested"	"crude"	"Black"	.94348389	3.514e-16	.93038271	.95676956	""	53	"Crude"
"tested"	"crude"	"Mixed"	.90946969	1.190e-20	.89149574	.92780602	""	54	"Crude"
"tested"	"crude"	"Other"	.63115703	0	.62026502	.64224031	""	55	"Crude"
"tested"	"model0"	"White"	1		1	1	""	56	"Age-sex"
"tested"	"model0"	"South Asian"	1.1317786	7.92e-188	1.1224233	1.1412118	""	57	"Age-sex"
"tested"	"model0"	"Black"	1.0464237	4.158e-10	1.0316334	1.061426	""	58	"Age-sex"
"tested"	"model0"	"Mixed"	1.0294799	.00457053	1.0090139	1.0503609	""	59	"Age-sex"
"tested"	"model0"	"Other"	.70939037	0	.69702243	.72197776	""	60	"Age-sex"
"tested"	"model1"	"White"	1		1	1	""	61	"Age-sex-IMD"
"tested"	"model1"	"South Asian"	1.1048255	2.65e-119	1.0955693	1.1141599	""	62	"Age-sex-IMD"
"tested"	"model1"	"Black"	1.0121938	.09915508	.99771673	1.0268808	""	63	"Age-sex-IMD"
"tested"	"model1"	"Mixed"	1.0124776	.23004704	.99218151	1.0331889	""	64	"Age-sex-IMD"
"tested"	"model1"	"Other"	.7002017	0	.68789633	.7127272	""	65	"Age-sex-IMD"
"tested"	"model2"	"White"	1		1	1	""	66	"+ co-morbidities"
"tested"	"model2"	"South Asian"	1.1180857	4.12e-118	1.1075492	1.1287224	""	67	"+ co-morbidities"
"tested"	"model2"	"Black"	1.0485133	5.683e-09	1.0319349	1.065358	""	68	"+ co-morbidities"
"tested"	"model2"	"Mixed"	1.0378938	.00102144	1.0151124	1.0611865	""	69	"+ co-morbidities"
"tested"	"model2"	"Other"	.76826974	3.94e-152	.75330863	.78352799	""	70	"+ co-morbidities"
"tested"	"model3"	"White"	1		1	1	""	71	"+ household size & carehome"
"tested"	"model3"	"South Asian"	1.145072	2.22e-147	1.1333725	1.1568923	""	72	"+ household size & carehome"
"tested"	"model3"	"Black"	1.0587187	3.224e-11	1.0410258	1.0767122	""	73	"+ household size & carehome"
"tested"	"model3"	"Mixed"	1.0464861	.00014408	1.0222525	1.0712943	""	74	"+ household size & carehome"
"tested"	"model3"	"Other"	.77805491	2.07e-122	.76195858	.79449128	""	75	"+ household size & carehome"
"positivetest"	"crude"	"White"	1		1	1	""	76	"Crude"
"positivetest"	"crude"	"South Asian"	2.1828458	0	2.1347808	2.2319931	""	77	"Crude"
"positivetest"	"crude"	"Black"	1.6300222	1.29e-116	1.5634231	1.6994583	""	78	"Crude"
"positivetest"	"crude"	"Mixed"	1.1800334	1.965e-06	1.1022308	1.2633278	""	79	"Crude"
"positivetest"	"crude"	"Other"	.92146671	.00448851	.87092353	.97494311	""	80	"Crude"
"positivetest"	"model0"	"White"	1		1	1	""	81	"Age-sex"
"positivetest"	"model0"	"South Asian"	2.4976914	0	2.4374796	2.5593907	""	82	"Age-sex"
"positivetest"	"model0"	"Black"	2.0243624	1.95e-228	1.939476	2.1129642	""	83	"Age-sex"
"positivetest"	"model0"	"Mixed"	1.5761177	1.739e-38	1.4714216	1.6882633	""	84	"Age-sex"
"positivetest"	"model0"	"Other"	1.225896	2.881e-12	1.1577856	1.2980131	""	85	"Age-sex"
"positivetest"	"model1"	"White"	1		1	1	""	86	"Age-sex-IMD"
"positivetest"	"model1"	"South Asian"	2.3244488	0	2.2673974	2.3829358	""	87	"Age-sex-IMD"
"positivetest"	"model1"	"Black"	1.8412442	2.75e-167	1.7630419	1.9229152	""	88	"Age-sex-IMD"
"positivetest"	"model1"	"Mixed"	1.5023857	1.010e-30	1.4018856	1.6100906	""	89	"Age-sex-IMD"
"positivetest"	"model1"	"Other"	1.1810646	1.407e-08	1.1150685	1.2509667	""	90	"Age-sex-IMD"
"positivetest"	"model2"	"White"	1		1	1	""	91	"+ co-morbidities"
"positivetest"	"model2"	"South Asian"	2.1640517	0	2.1034457	2.2264039	""	92	"+ co-morbidities"
"positivetest"	"model2"	"Black"	1.7547586	7.84e-117	1.6725755	1.8409798	""	93	"+ co-morbidities"
"positivetest"	"model2"	"Mixed"	1.519492	3.036e-27	1.4085077	1.6392214	""	94	"+ co-morbidities"
"positivetest"	"model2"	"Other"	1.278276	5.579e-14	1.1990182	1.3627728	""	95	"+ co-morbidities"
"positivetest"	"model3"	"White"	1		1	1	""	96	"+ household size & carehome"
"positivetest"	"model3"	"South Asian"	2.1785896	0	2.1102658	2.2491255	""	97	"+ household size & carehome"
"positivetest"	"model3"	"Black"	1.8033665	3.74e-111	1.7126922	1.8988412	""	98	"+ household size & carehome"
"positivetest"	"model3"	"Mixed"	1.5638864	2.750e-27	1.4422093	1.6958292	""	99	"+ household size & carehome"
"positivetest"	"model3"	"Other"	1.3229709	1.863e-15	1.2347645	1.4174784	""	100	"+ household size & carehome"
"ae"	"crude"	"White"	1		1	1	""	101	"Crude"
"ae"	"crude"	"South Asian"	.76704439	0	.75746762	.77674224	""	102	"Crude"
"ae"	"crude"	"Black"	.87136654	1.873e-41	.85410357	.88897843	""	103	"Crude"
"ae"	"crude"	"Mixed"	.86444867	4.810e-24	.84038746	.88919877	""	104	"Crude"
"ae"	"crude"	"Other"	.58352723	0	.56912	.59829918	""	105	"Crude"
"ae"	"model0"	"White"	1		1	1	""	106	"Age-sex"
"ae"	"model0"	"South Asian"	.91751298	1.444e-37	.90550683	.92967832	""	107	"Age-sex"
"ae"	"model0"	"Black"	1.058882	3.566e-08	1.0375542	1.0806481	""	108	"Age-sex"
"ae"	"model0"	"Mixed"	.99211205	.58469407	.96433305	1.0206913	""	109	"Age-sex"
"ae"	"model0"	"Other"	.68105167	2.47e-195	.66407004	.69846756	""	110	"Age-sex"
"ae"	"model1"	"White"	1		1	1	""	111	"Age-sex-IMD"
"ae"	"model1"	"South Asian"	.8484282	1.39e-129	.83721734	.85978917	""	112	"Age-sex-IMD"
"ae"	"model1"	"Black"	.94940574	7.295e-07	.93010054	.96911165	""	113	"Age-sex-IMD"
"ae"	"model1"	"Mixed"	.94205548	.00004301	.91549448	.96938709	""	114	"Age-sex-IMD"
"ae"	"model1"	"Other"	.65528686	2.00e-233	.63885523	.67214112	""	115	"Age-sex-IMD"
"ae"	"model2"	"White"	1		1	1	""	116	"+ co-morbidities"
"ae"	"model2"	"South Asian"	.93164676	3.255e-20	.917715	.94579001	""	117	"+ co-morbidities"
"ae"	"model2"	"Black"	1.053505	9.853e-06	1.0294368	1.0781358	""	118	"+ co-morbidities"
"ae"	"model2"	"Mixed"	1.0009833	.95199753	.96945851	1.0335333	""	119	"+ co-morbidities"
"ae"	"model2"	"Other"	.7791156	1.681e-66	.7573014	.80155815	""	120	"+ co-morbidities"
"ae"	"model3"	"White"	1		1	1	""	121	"+ household size & carehome"
"ae"	"model3"	"South Asian"	.94303617	1.658e-12	.92780689	.95851543	""	122	"+ household size & carehome"
"ae"	"model3"	"Black"	1.0569646	7.578e-06	1.0316362	1.0829148	""	123	"+ household size & carehome"
"ae"	"model3"	"Mixed"	.9948614	.76472924	.96185523	1.0290002	""	124	"+ household size & carehome"
"ae"	"model3"	"Other"	.78607564	1.056e-55	.76283946	.81001959	""	125	"+ household size & carehome"
"icu"	"crude"	"White"	1		1	1	""	126	"Crude"
"icu"	"crude"	"South Asian"	2.5348346	2.247e-59	2.2658276	2.8357792	""	127	"Crude"
"icu"	"crude"	"Black"	3.6271162	2.611e-60	3.1089302	4.2316718	""	128	"Crude"
"icu"	"crude"	"Mixed"	2.0547756	4.144e-07	1.5547835	2.7155567	""	129	"Crude"
"icu"	"crude"	"Other"	1.9426625	7.259e-10	1.5726839	2.3996797	""	130	"Crude"
"icu"	"model0"	"White"	1		1	1	""	131	"Age-sex"
"icu"	"model0"	"South Asian"	3.2510362	2.203e-77	2.8716163	3.6805879	""	132	"Age-sex"
"icu"	"model0"	"Black"	4.0684154	3.713e-64	3.4577609	4.786914	""	133	"Age-sex"
"icu"	"model0"	"Mixed"	3.1264523	2.258e-15	2.3585145	4.1444325	""	134	"Age-sex"
"icu"	"model0"	"Other"	2.9232173	3.172e-22	2.3533133	3.6311354	""	135	"Age-sex"
"icu"	"model1"	"White"	1		1	1	""	136	"Age-sex-IMD"
"icu"	"model1"	"South Asian"	3.015095	2.506e-66	2.658855	3.419065	""	137	"Age-sex-IMD"
"icu"	"model1"	"Black"	3.6434614	8.353e-53	3.0871367	4.3000399	""	138	"Age-sex-IMD"
"icu"	"model1"	"Mixed"	2.9672587	4.332e-14	2.2373965	3.9352095	""	139	"Age-sex-IMD"
"icu"	"model1"	"Other"	2.8108393	1.126e-20	2.2619474	3.4929271	""	140	"Age-sex-IMD"
"icu"	"model2"	"White"	1		1	1	""	141	"+ co-morbidities"
"icu"	"model2"	"South Asian"	2.8317206	1.600e-45	2.4517905	3.2705248	""	142	"+ co-morbidities"
"icu"	"model2"	"Black"	3.3824704	4.394e-39	2.8178617	4.0602086	""	143	"+ co-morbidities"
"icu"	"model2"	"Mixed"	3.070622	4.993e-13	2.2649729	4.1628398	""	144	"+ co-morbidities"
"icu"	"model2"	"Other"	3.2551066	6.313e-21	2.5439994	4.1649848	""	145	"+ co-morbidities"
"icu"	"model3"	"White"	1		1	1	""	146	"+ household size & carehome"
"icu"	"model3"	"South Asian"	2.680903	6.945e-34	2.2861479	3.1438214	""	147	"+ household size & carehome"
"icu"	"model3"	"Black"	3.2245109	1.122e-31	2.6507312	3.9224914	""	148	"+ household size & carehome"
"icu"	"model3"	"Mixed"	3.1801582	7.371e-13	2.3181771	4.3626546	""	149	"+ household size & carehome"
"icu"	"model3"	"Other"	3.1130669	3.746e-17	2.3899828	4.0549185	""	150	"+ household size & carehome"
"cpnsdeath"	"crude"	"White"	1		1	1	""	151	"Crude"
"cpnsdeath"	"crude"	"South Asian"	1.0660566	.13492715	.98029954	1.1593157	""	152	"Crude"
"cpnsdeath"	"crude"	"Black"	1.1992605	.00745544	1.0498103	1.3699864	""	153	"Crude"
"cpnsdeath"	"crude"	"Mixed"	.56478914	.0000346	.43097164	.74015724	""	154	"Crude"
"cpnsdeath"	"crude"	"Other"	.53639938	1.707e-09	.43799286	.6569155	""	155	"Crude"
"cpnsdeath"	"model0"	"White"	1		1	1	""	156	"Age-sex"
