parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.93541434	.05278815	-1.1830988	.23676998	.83746804	1.044816	"crude"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.7272632	.02037216	-11.368907	5.973e-30	.68841081	.76830834	"crude"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.90670027	.14731255	-.60283565	.54661803	.65942913	1.2466925	"crude"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.34863959	.09006915	-4.0787252	.00004528	.21012291	.5784689	"crude"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.72314041	.13006206	-1.8022728	.0715025	.50830905	1.0287679	"crude"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.59854425	.11538727	-2.6623884	.00775883	.41020577	.87335491	"crude"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.81633747	.05753666	-2.8791606	.00398735	.71101015	.93726772	"crude"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	.70440134	.09035414	-2.7317748	.00629942	.54781744	.90574198	"crude"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	1.2281025	.41148493	.61323882	.53971844	.63684413	2.3682964	"crude"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.66094212	.07605228	-3.5986936	.00031982	.52749538	.82814845	"crude"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.96727672	.07610542	-.42286	.67239741	.82904502	1.1285566	"crude"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.36470809	.04869633	-7.5542808	4.212e-14	.28073192	.4738043	"crude"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.66117545	.09129468	-2.9963644	.0027322	.50440963	.86666264	"crude"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.95661678	.14955875	-.28368957	.77664829	.70414161	1.2996188	"crude"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.75837255	.06072608	-3.4540526	.00055223	.64822134	.8872416	"crude"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	1.0140547	.01091894	1.2961871	.19491102	.99287819	1.0356828	"crude"	"tested"	""
