parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"ae"	""
"2.eth5"	"Eth 5 categories"	.81849426	.03610722	-4.5402369	5.619e-06	.75069853	.89241263	"crude"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.0305038	.07333503	.42223156	.67285601	.89634349	1.1847445	"crude"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.1219343	.11646084	1.1083837	.26769612	.91539729	1.3750713	"crude"	"ae"	""
"5.eth5"	"Eth 5 categories"	.92769544	.08850171	-.78671022	.43145152	.76948684	1.1184322	"crude"	"ae"	""
"6.eth5"	"Eth 5 categories"	.87008974	.03008691	-4.0243667	.00005713	.81307437	.9311032	"crude"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"ae"	""
"2.eth5"	"Eth 5 categories"	.9970909	.04505742	-.0644703	.94859575	.91257783	1.0894307	"model0"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.2161825	.0871661	2.7307337	.00631935	1.0567969	1.3996066	"model0"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.3713056	.14305616	3.0268392	.00247125	1.1177275	1.6824128	"model0"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.1293957	.1082934	1.2690335	.2044291	.93589624	1.3629018	"model0"	"ae"	""
"6.eth5"	"Eth 5 categories"	.88773409	.03082782	-3.4291776	.00060541	.82932303	.95025918	"model0"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"ae"	""
"1.male"	"Male"	1.1261799	.02903633	4.6088962	4.048e-06	1.0706838	1.1845526	"model0"	"ae"	""
"age1"	"Age spline 1"	1.0042599	.00436756	.97742615	.32835822	.99573602	1.0128568	"model0"	"ae"	""
"age2"	"Age spline 2"	1.0418745	.01447919	2.9517683	.0031596	1.0138788	1.0706432	"model0"	"ae"	""
"age3"	"Age spline 3"	.90332834	.03272073	-2.8068034	.00500358	.84142046	.96979113	"model0"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"ae"	""
"2.eth5"	"Eth 5 categories"	.96127605	.0441196	-.8604863	.38952103	.87857857	1.0517576	"model1"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.1838839	.08557114	2.3353689	.01952416	1.0275058	1.3640616	"model1"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.3471006	.14144162	2.8377415	.0045434	1.0965447	1.6549074	"model1"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.0978854	.106677	.96109824	.33650278	.90750548	1.3282039	"model1"	"ae"	""
"6.eth5"	"Eth 5 categories"	.88541379	.03091044	-3.4860402	.00049023	.82685664	.94811789	"model1"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"ae"	""
"1.male"	"Male"	1.133905	.02935903	4.8535307	1.213e-06	1.0777981	1.1929328	"model1"	"ae"	""
"age1"	"Age spline 1"	1.004601	.0043936	1.0496117	.29389668	.99602651	1.0132493	"model1"	"ae"	""
"age2"	"Age spline 2"	1.0415541	.01454938	2.9146128	.0035613	1.0134247	1.0704644	"model1"	"ae"	""
"age3"	"Age spline 3"	.90386481	.03290584	-2.7763629	.00549708	.84161774	.97071576	"model1"	"ae"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"ae"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0700532	.04780715	1.5154972	.12964654	.98033826	1.1679784	"model1"	"ae"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.146447	.05015638	3.1238727	.00178488	1.052239	1.2490895	"model1"	"ae"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2265165	.05238159	4.7808346	1.746e-06	1.1280299	1.3336018	"model1"	"ae"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.1976364	.05243392	4.1193501	.00003799	1.0991536	1.3049432	"model1"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"ae"	""
"2.eth5"	"Eth 5 categories"	.95700018	.05581437	-.75360124	.4510887	.85362684	1.0728919	"model2"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.0693872	.10357563	.6926401	.48853544	.88448758	1.2929395	"model2"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.2101131	.16969236	1.3600216	.1738231	.91931262	1.5929006	"model2"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.1691013	.14885865	1.2270358	.21980915	.91090027	1.5004911	"model2"	"ae"	""
"6.eth5"	"Eth 5 categories"	.90379529	.04335912	-2.1084621	.03499104	.82268601	.9929012	"model2"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"ae"	""
"1.male"	"Male"	1.0721778	.03663855	2.0394391	.04140622	1.0027195	1.1464474	"model2"	"ae"	""
"age1"	"Age spline 1"	.99494436	.00716141	-.70416849	.48132785	.98100681	1.0090799	"model2"	"ae"	""
"age2"	"Age spline 2"	1.0249082	.02173605	1.1600944	.24601037	.9831796	1.0684079	"model2"	"ae"	""
"age3"	"Age spline 3"	.95212147	.05123948	-.91167223	.36194129	.85680897	1.0580367	"model2"	"ae"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"ae"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0179413	.05886702	.30749384	.75846751	.90886246	1.1401113	"model2"	"ae"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0750518	.06025423	1.2912003	.19663422	.96321109	1.1998786	"model2"	"ae"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0791682	.05958028	1.3800272	.16757828	.96848916	1.2024956	"model2"	"ae"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0465961	.05898032	.80815421	.41900181	.9371522	1.1688212	"model2"	"ae"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0094389	.00278351	3.4069403	.00065695	1.003998	1.0149092	"model2"	"ae"	""
"hba1c_pct"	"HbA1c %"	1.0239121	.01735107	1.3944786	.16317313	.99046313	1.0584906	"model2"	"ae"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0076086	.00091834	8.3165837	9.054e-17	1.0058103	1.0094101	"model2"	"ae"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"ae"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0187081	.03678322	.51333141	.60771952	.94910618	1.0934142	"model2"	"ae"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0847615	.06369159	1.3856834	.16584358	.96684336	1.2170612	"model2"	"ae"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"ae"	""
"1.hypertension"	"Diagnosed hypertension"	.96486738	.03757459	-.91838954	.35841496	.89396291	1.0413956	"model2"	"ae"	""
"bp_map"	"Mean Arterial Pressure"	1.0028654	.00081969	3.5007189	.000464	1.0012601	1.0044733	"model2"	"ae"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"ae"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"ae"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.1700496	.05928385	3.0995248	.00193831	1.0594385	1.2922091	"model2"	"ae"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"ae"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2594058	.05448356	5.3313213	9.750e-08	1.1570219	1.3708495	"model2"	"ae"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"ae"	""
"1.dm_type"	"Diabetes Type"	1.2951512	.18161324	1.8443678	.06512955	.98392114	1.7048283	"model2"	"ae"	""
"2.dm_type"	"Diabetes Type"	1.1442535	.05906899	2.610354	.00904486	1.0341446	1.2660861	"model2"	"ae"	""
"3.dm_type"	"Diabetes Type"	1.158993	.08667703	1.9729704	.04849893	1.0009732	1.3419589	"model2"	"ae"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"ae"	""
"1.cancer"	"Cancer"	1.1563662	.0581922	2.8869817	.00388957	1.0477559	1.2762352	"model2"	"ae"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"ae"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.1253152	.14817215	.8966483	.36990662	.86935079	1.4566437	"model2"	"ae"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"ae"	""
"1.stroke"	"Stroke"	1.2231289	.06967182	3.5359081	.00040638	1.0939214	1.3675977	"model2"	"ae"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"ae"	""
"1.dementia"	"Dementia"	1.1184759	.09679407	1.2938019	.19573385	.94397995	1.3252277	"model2"	"ae"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"ae"	""
"1.other_neuro"	"Neurological disease"	1.2260589	.11227177	2.2256423	.02603815	1.0246269	1.4670906	"model2"	"ae"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"ae"	""
"1.egfr60"	"CKD defined by egfr<60"	1.2034953	.05992586	3.7199883	.00019923	1.091592	1.3268701	"model2"	"ae"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"ae"	""
"1.esrf"	"end stage renal failure"	1.5162884	.18458814	3.4193885	.00062762	1.194426	1.9248832	"model2"	"ae"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"ae"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.83465946	.1329783	-1.1343898	.25663107	.61079508	1.1405731	"model2"	"ae"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"ae"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	.96589861	.05967204	-.56162332	.57437269	.85574692	1.090229	"model2"	"ae"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"ae"	""
"2.eth5"	"Eth 5 categories"	.97211216	.0621504	-.44239954	.65820011	.85762255	1.1018857	"model3"	"ae"	""
"3.eth5"	"Eth 5 categories"	1.1041493	.11110903	.9845622	.32483917	.90650988	1.3448785	"model3"	"ae"	""
"4.eth5"	"Eth 5 categories"	1.2055484	.1778777	1.2669306	.20518009	.90279795	1.6098253	"model3"	"ae"	""
"5.eth5"	"Eth 5 categories"	1.1282066	.15473623	.8795277	.37911522	.86227209	1.4761584	"model3"	"ae"	""
"6.eth5"	"Eth 5 categories"	.90453781	.04642638	-1.9547796	.05060909	.81797095	1.0002661	"model3"	"ae"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"ae"	""
"1.male"	"Male"	1.0753491	.03912387	1.9967115	.04585653	1.0013379	1.1548306	"model3"	"ae"	""
"age1"	"Age spline 1"	1.0015567	.0078045	.19962223	.84177604	.98637642	1.0169707	"model3"	"ae"	""
"age2"	"Age spline 2"	.99958349	.02304923	-.01806655	.98558576	.95541347	1.0457956	"model3"	"ae"	""
"age3"	"Age spline 3"	1.0248667	.0599471	.4199252	.67454009	.9138573	1.1493607	"model3"	"ae"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"ae"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0131942	.06242044	.21276492	.83151032	.89795017	1.1432288	"model3"	"ae"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.1186557	.06657986	1.8839378	.0595734	.99548531	1.2570659	"model3"	"ae"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0735792	.06352123	1.1999465	.23016011	.9560276	1.2055847	"model3"	"ae"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0514079	.0636749	.82775487	.40780934	.93372964	1.1839172	"model3"	"ae"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0093698	.00297475	3.16447	.00155366	1.0035562	1.015217	"model3"	"ae"	""
"hba1c_pct"	"HbA1c %"	1.015776	.01812896	.87704033	.38046473	.9808582	1.0519369	"model3"	"ae"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.007002	.0009935	7.0724149	1.523e-12	1.0050567	1.0089511	"model3"	"ae"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"ae"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.007013	.03878354	.18145722	.85600871	.9337968	1.0859699	"model3"	"ae"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0878706	.06804112	1.3465816	.17811503	.96236244	1.2297472	"model3"	"ae"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"ae"	""
"1.hypertension"	"Diagnosed hypertension"	.956134	.03985519	-1.0761335	.28186757	.88112505	1.0375284	"model3"	"ae"	""
"bp_map"	"Mean Arterial Pressure"	1.003251	.00088312	3.6872625	.00022668	1.0015216	1.0049834	"model3"	"ae"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model3"	"ae"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"ae"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.1417006	.06128996	2.4685439	.0135664	1.0276782	1.268374	"model3"	"ae"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"ae"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2444231	.05687865	4.7842296	1.716e-06	1.1377905	1.3610491	"model3"	"ae"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"	"ae"	""
"1.dm_type"	"Diabetes Type"	1.3563109	.20048747	2.0617784	.03922884	1.0151638	1.8121008	"model3"	"ae"	""
"2.dm_type"	"Diabetes Type"	1.1889684	.06470231	3.1806257	.00146957	1.068683	1.3227926	"model3"	"ae"	""
"3.dm_type"	"Diabetes Type"	1.1556528	.09192438	1.8187014	.068957	.98882641	1.3506248	"model3"	"ae"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"ae"	""
"1.cancer"	"Cancer"	1.1194001	.05977434	2.1122844	.03466206	1.0081669	1.242906	"model3"	"ae"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"ae"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.1609003	.16140717	1.0730714	.28323906	.88398943	1.5245538	"model3"	"ae"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"ae"	""
"1.stroke"	"Stroke"	1.2334224	.07380526	3.5060254	.00045485	1.0969273	1.3869022	"model3"	"ae"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"ae"	""
"1.dementia"	"Dementia"	1.2329864	.11085088	2.3295775	.01982849	1.0337882	1.4705678	"model3"	"ae"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"ae"	""
"1.other_neuro"	"Neurological disease"	1.3253307	.12585074	2.9661746	.00301529	1.1002613	1.5964401	"model3"	"ae"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"	"ae"	""
"1.egfr60"	"CKD defined by egfr<60"	1.1866303	.0622268	3.2631178	.00110194	1.0707264	1.3150807	"model3"	"ae"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"	"ae"	""
"1.esrf"	"end stage renal failure"	1.545442	.19574924	3.4367757	.00058868	1.2056952	1.9809242	"model3"	"ae"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model3"	"ae"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.84787972	.1394084	-1.0036278	.31555806	.61429881	1.1702774	"model3"	"ae"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"	"ae"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	.98577543	.06416743	-.22009479	.82579733	.86770166	1.1199163	"model3"	"ae"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"	"ae"	""
"2.hh_total_cat"	"Number of people in household"	.8930042	.03807593	-2.654063	.0079529	.82140993	.97083863	"model3"	"ae"	""
"3.hh_total_cat"	"Number of people in household"	.81316255	.06136237	-2.7407961	.00612905	.70136571	.94277967	"model3"	"ae"	""
"4.hh_total_cat"	"Number of people in household"	.86655217	.06898302	-1.7992666	.07197653	.74136778	1.0128747	"model3"	"ae"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model3"	"ae"	""
"1.carehome"	"Care home y/n"	.7807786	.06414822	-3.0119982	.00259534	.66465118	.91719572	"model3"	"ae"	""
