eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.eth5"	"Eth 5 categories"	1.3376417	.17706181	2.1977123	.02796961	1.0319709	1.7338527	"crude"	"ventilated"
"ventilated"	"3.eth5"	"Eth 5 categories"	1.1104562	.19750892	.58905442	.55582477	.78361778	1.5736153	"crude"	"ventilated"
"ventilated"	"4.eth5"	"Eth 5 categories"	1.1183558	.32710722	.38243971	.70213524	.63039471	1.9840263	"crude"	"ventilated"
"ventilated"	"5.eth5"	"Eth 5 categories"	1.2004782	.29933083	.73280571	.46367694	.7363989	1.9570207	"crude"	"ventilated"
"ventilated"	"6.eth5"	"Eth 5 categories"	1.137628	.1277041	1.1486858	.25068555	.91295399	1.4175933	"crude"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	.76930212	.14602169	-1.3817538	.1670473	.53031005	1.1159995	"crude"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.56851311	.14284392	-2.2476065	.02460129	.34743103	.93027717	"crude"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	2.5799048	1.0927241	2.237629	.02524526	1.1248004	5.9174131	"crude"	"ventilated"
"ventilated"	"5.stp"	"Sustainability and Transformation Partnership"	.45350577	.18419479	-1.946898	.05154697	.20457893	1.005321	"crude"	"ventilated"
"ventilated"	"6.stp"	"Sustainability and Transformation Partnership"	.99809038	.21237775	-.00898304	.99283267	.65773012	1.5145793	"crude"	"ventilated"
"ventilated"	"7.stp"	"Sustainability and Transformation Partnership"	2.1404783	1.6633511	.97932826	.32741781	.46671087	9.8168858	"crude"	"ventilated"
"ventilated"	"8.stp"	"Sustainability and Transformation Partnership"	2.9143198	.74326654	4.1940037	.00002741	1.7678574	4.8042675	"crude"	"ventilated"
"ventilated"	"9.stp"	"Sustainability and Transformation Partnership"	3.4101682	1.2798516	3.2687099	.00108039	1.6342406	7.1159944	"crude"	"ventilated"
"ventilated"	"10.stp"	"Sustainability and Transformation Partnership"	3.3111086	.87003288	4.5565338	5.200e-06	1.9783821	5.5416192	"crude"	"ventilated"
"ventilated"	"11.stp"	"Sustainability and Transformation Partnership"	4.2711285	1.1426021	5.4272241	5.724e-08	2.5283152	7.2152943	"crude"	"ventilated"
"ventilated"	"12.stp"	"Sustainability and Transformation Partnership"	2.0560675	.55649032	2.6631256	.00774185	1.2096318	3.4947937	"crude"	"ventilated"
"ventilated"	"13.stp"	"Sustainability and Transformation Partnership"	11.353693	4.3438704	6.3501631	2.151e-10	5.363785	24.03272	"crude"	"ventilated"
