parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"suspected"	""
"2.eth5"	"Eth 5 categories"	.98566473	.00511943	-2.7800024	.00543585	.97568174	.99574987	"crude"	"suspected"	""
"3.eth5"	"Eth 5 categories"	.99435265	.00856298	-.65764095	.51076887	.97771036	1.0112782	"crude"	"suspected"	""
"4.eth5"	"Eth 5 categories"	.89220618	.01112389	-9.1481705	5.791e-20	.87066798	.91427719	"crude"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.58346068	.00663644	-47.368158	0	.57059741	.59661393	"crude"	"suspected"	""
"6.eth5"	"Eth 5 categories"	.80778601	.00233149	-73.956225	0	.80322927	.81236861	"crude"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.1097558	.00581831	19.86317	8.479e-88	1.0984106	1.1212183	"model0"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.1083111	.00957668	11.901387	1.164e-32	1.0896992	1.1272409	"model0"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0392571	.01298837	3.0810499	.00206272	1.0141097	1.0650282	"model0"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.67932347	.0077503	-33.891065	9.02e-252	.66430174	.69468488	"model0"	"suspected"	""
"6.eth5"	"Eth 5 categories"	.83655353	.00243133	-61.404851	0	.83180176	.84133244	"model0"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"suspected"	""
"1.male"	"Male"	.71412424	.00172616	-139.29441	0	.71074903	.71751548	"model0"	"suspected"	""
"age1"	"Age spline 1"	1.0136137	.00037634	36.419129	2.12e-290	1.0128764	1.0143516	"model0"	"suspected"	""
"age2"	"Age spline 2"	.98009309	.0011657	-16.906121	4.055e-64	.97781103	.98238048	"model0"	"suspected"	""
"age3"	"Age spline 3"	1.0882627	.00357781	25.727511	5.76e-146	1.0812729	1.0952977	"model0"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0518511	.00557486	9.5379539	1.457e-21	1.0409811	1.0628346	"model1"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0329093	.00901769	3.7088235	.00020822	1.0153854	1.0507358	"model1"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0048045	.0126534	.38061225	.70349099	.98030786	1.0299133	"model1"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.66410632	.00762093	-35.668508	1.22e-278	.64933629	.67921232	"model1"	"suspected"	""
"6.eth5"	"Eth 5 categories"	.83923551	.00244865	-60.068779	0	.83444994	.84404854	"model1"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"suspected"	""
"1.male"	"Male"	.71390653	.00173321	-138.81073	0	.71051756	.71731166	"model1"	"suspected"	""
"age1"	"Age spline 1"	1.014068	.00037943	37.33676	4.16e-305	1.0133247	1.014812	"model1"	"suspected"	""
"age2"	"Age spline 2"	.98190783	.00117548	-15.25125	1.615e-52	.97960663	.98421443	"model1"	"suspected"	""
"age3"	"Age spline 3"	1.081413	.00357612	23.668319	7.65e-124	1.0744266	1.0884449	"model1"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0789162	.0042431	19.31402	4.094e-83	1.0706319	1.0872647	"model1"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2078514	.0046881	48.653953	0	1.1986978	1.2170749	"model1"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3074396	.00508803	68.884419	0	1.2975052	1.3174501	"model1"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.4005443	.00560193	84.219008	0	1.3896077	1.411567	"model1"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0175268	.00682189	2.5915902	.00955335	1.0042436	1.0309857	"model2"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0542862	.01190153	4.6829058	2.828e-06	1.0312158	1.0778727	"model2"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0480664	.01801557	2.731167	.00631105	1.0133447	1.0839778	"model2"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.89045355	.01333828	-7.7457001	9.506e-15	.86469104	.91698363	"model2"	"suspected"	""
"6.eth5"	"Eth 5 categories"	.93797959	.00376173	-15.965039	2.239e-57	.93063564	.94538149	"model2"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"suspected"	""
"1.male"	"Male"	.80609053	.00260551	-66.689574	0	.80099997	.81121344	"model2"	"suspected"	""
"age1"	"Age spline 1"	1.0046865	.00068115	6.8963933	5.334e-12	1.0033524	1.0060224	"model2"	"suspected"	""
"age2"	"Age spline 2"	.9563114	.00186447	-22.912753	3.47e-116	.95266409	.95997268	"model2"	"suspected"	""
"age3"	"Age spline 3"	1.164279	.0060186	29.423641	2.74e-190	1.1525423	1.1761352	"model2"	"suspected"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"suspected"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0531891	.00540257	10.102455	5.388e-24	1.0426533	1.0638313	"model2"	"suspected"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.13161	.00574168	24.36811	3.73e-131	1.1204123	1.1429196	"model2"	"suspected"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1734063	.00600772	31.233245	3.77e-214	1.1616903	1.1852405	"model2"	"suspected"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2164253	.00641998	37.12123	1.28e-301	1.2039072	1.2290735	"model2"	"suspected"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0092827	.00027385	34.05401	3.54e-254	1.0087461	1.0098196	"model2"	"suspected"	""
"hba1c_pct"	"HbA1c %"	1.0595133	.0019402	31.569036	9.83e-219	1.0557174	1.0633229	"model2"	"suspected"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0126204	.00005228	242.89593	0	1.0125179	1.0127228	"model2"	"suspected"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"suspected"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0892293	.00385642	24.140748	9.34e-129	1.081697	1.096814	"model2"	"suspected"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.0739935	.00529327	14.483646	1.537e-47	1.0636688	1.0844184	"model2"	"suspected"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"suspected"	""
"1.hypertension"	"Diagnosed hypertension"	1.0500405	.00388353	13.202483	8.489e-40	1.0424565	1.0576798	"model2"	"suspected"	""
"bp_map"	"Mean Arterial Pressure"	1.0000785	8.372e-06	9.376035	6.850e-21	1.0000621	1.0000949	"model2"	"suspected"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"suspected"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.8420332	.00860567	130.75599	0	1.8252434	1.8589775	"model2"	"suspected"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2618224	.00550212	53.333187	0	1.2510843	1.2726525	"model2"	"suspected"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"suspected"	""
"1.dm_type"	"Diabetes Type"	1.0671513	.01552157	4.4684366	7.879e-06	1.0371592	1.0980108	"model2"	"suspected"	""
"2.dm_type"	"Diabetes Type"	1.051963	.00561548	9.489893	2.313e-21	1.0410143	1.0630269	"model2"	"suspected"	""
"3.dm_type"	"Diabetes Type"	1.0098188	.0078157	1.2624453	.20678861	.99461596	1.0252541	"model2"	"suspected"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"suspected"	""
"1.cancer"	"Cancer"	1.3073435	.00633668	55.291493	0	1.2949827	1.3198224	"model2"	"suspected"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"suspected"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.341563	.01683971	23.408877	3.47e-121	1.3089604	1.3749775	"model2"	"suspected"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"suspected"	""
"1.stroke"	"Stroke"	1.1889099	.00792021	25.97472	9.56e-149	1.1734875	1.2045351	"model2"	"suspected"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"suspected"	""
"1.dementia"	"Dementia"	1.5814847	.02456707	29.506803	2.35e-191	1.5340597	1.6303758	"model2"	"suspected"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"suspected"	""
"1.other_neuro"	"Neurological disease"	1.3458307	.01437607	27.805036	3.77e-170	1.317947	1.3743043	"model2"	"suspected"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"suspected"	""
"1.egfr60"	"CKD defined by egfr<60"	1.0373047	.00528093	7.1941938	6.283e-13	1.0270057	1.047707	"model2"	"suspected"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"suspected"	""
"1.esrf"	"end stage renal failure"	1.6351001	.03751812	21.429254	7.13e-102	1.5631949	1.7103128	"model2"	"suspected"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"suspected"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.6294562	.02391078	33.272692	9.59e-243	1.5832595	1.6770009	"model2"	"suspected"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"suspected"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.249555	.00670378	41.526571	0	1.2364846	1.2627635	"model2"	"suspected"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"suspected"	""
"2.eth5"	"Eth 5 categories"	1.0186449	.0069907	2.6918083	.00710658	1.0050351	1.0324389	"model3"	"suspected"	""
"3.eth5"	"Eth 5 categories"	1.0558971	.01193533	4.8118477	1.495e-06	1.0327615	1.079551	"model3"	"suspected"	""
"4.eth5"	"Eth 5 categories"	1.0482818	.01802218	2.7426752	.00609409	1.0135474	1.0842064	"model3"	"suspected"	""
"5.eth5"	"Eth 5 categories"	.89080722	.01335307	-7.7137005	1.222e-14	.8650164	.917367	"model3"	"suspected"	""
"6.eth5"	"Eth 5 categories"	.93979801	.00377174	-15.470946	5.450e-54	.93243454	.94721963	"model3"	"suspected"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"suspected"	""
"1.male"	"Male"	.80938979	.00261758	-65.390677	0	.80427565	.81453645	"model3"	"suspected"	""
"age1"	"Age spline 1"	1.0030741	.00068066	4.5233584	6.087e-06	1.001741	1.0044091	"model3"	"suspected"	""
