parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"tested"	""
"2.eth5"	"Eth 5 categories"	2.1796075	.0255864	66.372367	0	2.1300315	2.2303372	"crude"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.6903057	.03622751	24.491259	1.83e-132	1.6207718	1.7628228	"crude"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.2643508	.04347296	6.821816	8.990e-12	1.1819529	1.3524928	"crude"	"tested"	""
"5.eth5"	"Eth 5 categories"	.98388937	.02827994	-.56507029	.57202595	.92999407	1.040908	"crude"	"tested"	""
"6.eth5"	"Eth 5 categories"	.95965525	.00850458	-4.646878	3.370e-06	.94313051	.97646952	"crude"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"tested"	""
"2.eth5"	"Eth 5 categories"	2.5337575	.03030813	77.723129	0	2.4750455	2.5938621	"model0"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.9854071	.04279346	31.818874	3.55e-222	1.9032804	2.0710776	"model0"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.5609044	.05385467	12.905413	4.196e-38	1.458841	1.6701084	"model0"	"tested"	""
"5.eth5"	"Eth 5 categories"	1.2025879	.03473505	6.3868749	1.693e-10	1.1363996	1.2726313	"model0"	"tested"	""
"6.eth5"	"Eth 5 categories"	.97779147	.00872454	-2.5170463	.01183433	.96084034	.99504165	"model0"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	""
"1.male"	"Male"	.81155365	.00589056	-28.767428	5.48e-182	.8000901	.82318145	"model0"	"tested"	""
"age1"	"Age spline 1"	1.0386487	.00118951	33.111286	2.04e-240	1.03632	1.0409828	"model0"	"tested"	""
"age2"	"Age spline 2"	.86387558	.00312007	-40.514422	0	.85778194	.8700125	"model0"	"tested"	""
"age3"	"Age spline 3"	1.6636525	.01642941	51.543219	0	1.6317611	1.6961672	"model0"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"tested"	""
"2.eth5"	"Eth 5 categories"	2.3511785	.02855404	70.395002	0	2.2958744	2.4078147	"model1"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.8013147	.03925456	27.00588	1.26e-160	1.7259971	1.8799189	"model1"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.4863765	.0516651	11.40252	4.062e-30	1.388487	1.5911672	"model1"	"tested"	""
