Table 0: Outcome counts by ethnic group
	Total	White	South Asian	Black	Mixed	Other	Unknown
Whole study population- no exclusions
N	 2.17e+07 (100.0)	 1.31e+07 (100.0)	  1315089 (100.0)	  439,094 (100.0)	  267,049 (100.0)	  392,273 (100.0)	  6205438 (100.0)	

tested	   85,097 (0.4)	   48,726 (0.4)	   11,758 (0.9)	    2,572 (0.6)	      998 (0.4)	    1,359 (0.3)	   19,684 (0.3)	
positivetest	   85,097 (0.4)	   48,726 (0.4)	   11,758 (0.9)	    2,572 (0.6)	      998 (0.4)	    1,359 (0.3)	   19,684 (0.3)	
ae	  1742613 (8.0)	  1094870 (8.3)	   80,314 (6.1)	   30,865 (7.0)	   19,215 (7.2)	   19,662 (5.0)	  497,687 (8.0)	
icu	    3,023 (0.0)	    1,651 (0.0)	      393 (0.0)	      182 (0.0)	       56 (0.0)	       91 (0.0)	      650 (0.0)	
onscoviddeath	   15,634 (0.1)	   10,374 (0.1)	      773 (0.1)	      305 (0.1)	       77 (0.0)	      136 (0.0)	    3,969 (0.1)	
ons_noncoviddeath	   85,006 (0.4)	   57,209 (0.4)	    1,806 (0.1)	      677 (0.2)	      192 (0.1)	      341 (0.1)	   24,781 (0.4)	
onsdeath	  100,640 (0.5)	   67,583 (0.5)	    2,579 (0.2)	      982 (0.2)	      269 (0.1)	      477 (0.1)	   28,750 (0.5)	
cpnsdeath	    9,778 (0.0)	    6,264 (0.0)	      629 (0.0)	      235 (0.1)	       54 (0.0)	       98 (0.0)	    2,498 (0.0)	
Adults aged 18-105
N	 1.75e+07 (100.0)	 1.10e+07 (100.0)	  1033143 (100.0)	  344,299 (100.0)	  172,317 (100.0)	  324,582 (100.0)	  4603732 (100.0)	

tested	   82,079 (0.5)	   47,776 (0.4)	   10,913 (1.1)	    2,488 (0.7)	      922 (0.5)	    1,309 (0.4)	   18,671 (0.4)	
positivetest	   82,079 (0.5)	   47,776 (0.4)	   10,913 (1.1)	    2,488 (0.7)	      922 (0.5)	    1,309 (0.4)	   18,671 (0.4)	
ae	  1423092 (8.1)	  936,827 (8.5)	   65,697 (6.4)	   26,121 (7.6)	   12,948 (7.5)	   16,270 (5.0)	  365,229 (7.9)	
icu	    3,022 (0.0)	    1,650 (0.0)	      393 (0.0)	      182 (0.1)	       56 (0.0)	       91 (0.0)	      650 (0.0)	
onscoviddeath	   15,629 (0.1)	   10,372 (0.1)	      772 (0.1)	      305 (0.1)	       77 (0.0)	      136 (0.0)	    3,967 (0.1)	
ons_noncoviddeath	   84,878 (0.5)	   57,161 (0.5)	    1,786 (0.2)	      671 (0.2)	      192 (0.1)	      338 (0.1)	   24,730 (0.5)	
onsdeath	  100,507 (0.6)	   67,533 (0.6)	    2,558 (0.2)	      976 (0.3)	      269 (0.2)	      474 (0.1)	   28,697 (0.6)	
cpnsdeath	    9,776 (0.1)	    6,264 (0.1)	      628 (0.1)	      235 (0.1)	       54 (0.0)	       98 (0.0)	    2,497 (0.1)	
Adults with valid sex recorded
N	 1.75e+07 (100.0)	 1.10e+07 (100.0)	  1033139 (100.0)	  344,293 (100.0)	  172,310 (100.0)	  324,576 (100.0)	  4603658 (100.0)	

tested	   82,077 (0.5)	   47,776 (0.4)	   10,913 (1.1)	    2,488 (0.7)	      922 (0.5)	    1,309 (0.4)	   18,669 (0.4)	
positivetest	   82,077 (0.5)	   47,776 (0.4)	   10,913 (1.1)	    2,488 (0.7)	      922 (0.5)	    1,309 (0.4)	   18,669 (0.4)	
ae	  1423050 (8.1)	  936,802 (8.5)	   65,697 (6.4)	   26,119 (7.6)	   12,947 (7.5)	   16,270 (5.0)	  365,215 (7.9)	
icu	    3,022 (0.0)	    1,650 (0.0)	      393 (0.0)	      182 (0.1)	       56 (0.0)	       91 (0.0)	      650 (0.0)	
onscoviddeath	   15,629 (0.1)	   10,372 (0.1)	      772 (0.1)	      305 (0.1)	       77 (0.0)	      136 (0.0)	    3,967 (0.1)	
ons_noncoviddeath	   84,878 (0.5)	   57,161 (0.5)	    1,786 (0.2)	      671 (0.2)	      192 (0.1)	      338 (0.1)	   24,730 (0.5)	
onsdeath	  100,507 (0.6)	   67,533 (0.6)	    2,558 (0.2)	      976 (0.3)	      269 (0.2)	      474 (0.1)	   28,697 (0.6)	
cpnsdeath	    9,776 (0.1)	    6,264 (0.1)	      628 (0.1)	      235 (0.1)	       54 (0.0)	       98 (0.0)	    2,497 (0.1)	
