eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"ventilated"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.eth5"	"Eth 5 categories"	1.327358	.17597815	2.1360328	.03267674	1.0236174	1.7212282	"crude"	"ventilated"
"ventilated"	"3.eth5"	"Eth 5 categories"	1.09675	.19508812	.51918202	.60363382	.77392216	1.5542397	"crude"	"ventilated"
"ventilated"	"4.eth5"	"Eth 5 categories"	1.0398553	.30150508	.13478771	.89277972	.58907123	1.8355998	"crude"	"ventilated"
"ventilated"	"5.eth5"	"Eth 5 categories"	1.142558	.28188317	.54018234	.58907129	.70449246	1.8530204	"crude"	"ventilated"
"ventilated"	"6.eth5"	"Eth 5 categories"	1.1979771	.12190323	1.7751443	.07587407	.98136894	1.462395	"crude"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	.8048697	.1496462	-1.1675338	.24299487	.55906859	1.1587402	"crude"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.58960937	.14428231	-2.1588767	.03085973	.36497935	.95249007	"crude"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	2.6764553	1.1309837	2.3297879	.01981736	1.1691485	6.1270345	"crude"	"ventilated"
"ventilated"	"5.stp"	"Sustainability and Transformation Partnership"	.45069164	.18195343	-1.9740687	.04837393	.20428291	.99432181	"crude"	"ventilated"
"ventilated"	"6.stp"	"Sustainability and Transformation Partnership"	1.0235031	.21286871	.11169854	.91106244	.68085683	1.5385886	"crude"	"ventilated"
"ventilated"	"7.stp"	"Sustainability and Transformation Partnership"	1.6288532	1.1743794	.67667968	.49860921	.3964405	6.6924612	"crude"	"ventilated"
"ventilated"	"8.stp"	"Sustainability and Transformation Partnership"	3.1605608	.78706268	4.6209964	3.819e-06	1.9399593	5.1491519	"crude"	"ventilated"
"ventilated"	"9.stp"	"Sustainability and Transformation Partnership"	3.9802159	1.4636385	3.7564029	.00017237	1.9359567	8.1830957	"crude"	"ventilated"
"ventilated"	"10.stp"	"Sustainability and Transformation Partnership"	3.4840031	.89616024	4.8525582	1.219e-06	2.1044144	5.7680074	"crude"	"ventilated"
"ventilated"	"11.stp"	"Sustainability and Transformation Partnership"	4.5347342	1.186194	5.7793741	7.498e-09	2.7157817	7.5719686	"crude"	"ventilated"
"ventilated"	"12.stp"	"Sustainability and Transformation Partnership"	2.2271533	.59518265	2.996283	.00273293	1.3190939	3.7603176	"crude"	"ventilated"
"ventilated"	"13.stp"	"Sustainability and Transformation Partnership"	11.69109	4.2606156	6.7469986	1.509e-11	5.7233369	23.88145	"crude"	"ventilated"
"ventilated"	"14.stp"	"Sustainability and Transformation Partnership"	6.0638468	2.0700659	5.2796099	1.295e-07	3.1057498	11.839408	"crude"	"ventilated"
"ventilated"	"15.stp"	"Sustainability and Transformation Partnership"	2.0296778	.45814504	3.1360427	.00171244	1.3040412	3.1590966	"crude"	"ventilated"
"ventilated"	"16.stp"	"Sustainability and Transformation Partnership"	.68360064	.21567677	-1.2056419	.22795558	.36833875	1.2686958	"crude"	"ventilated"
"ventilated"	"17.stp"	"Sustainability and Transformation Partnership"	6.4420968	2.1194181	5.6622553	1.494e-08	3.3805404	12.276325	"crude"	"ventilated"
"ventilated"	"18.stp"	"Sustainability and Transformation Partnership"	1.9189089	.39091201	3.1993434	.00137741	1.2872152	2.8606026	"crude"	"ventilated"
"ventilated"	"19.stp"	"Sustainability and Transformation Partnership"	3.274306	.74301895	5.2268839	1.724e-07	2.098752	5.108312	"crude"	"ventilated"
"ventilated"	"20.stp"	"Sustainability and Transformation Partnership"	2.5851987	.49362753	4.9742523	6.550e-07	1.7781251	3.7585951	"crude"	"ventilated"
"ventilated"	"21.stp"	"Sustainability and Transformation Partnership"	4.805963	.97574245	7.7322421	1.057e-14	3.2282201	7.1548035	"crude"	"ventilated"
"ventilated"	"22.stp"	"Sustainability and Transformation Partnership"	3.5061298	1.9425744	2.2642554	.02355841	1.1836382	10.385729	"crude"	"ventilated"
"ventilated"	"23.stp"	"Sustainability and Transformation Partnership"	1.4371089	.38338001	1.3593399	.17403891	.85194823	2.4241874	"crude"	"ventilated"
"ventilated"	"24.stp"	"Sustainability and Transformation Partnership"	4.7846306	5.5676511	1.3452536	.17854335	.48904061	46.811428	"crude"	"ventilated"
"ventilated"	"25.stp"	"Sustainability and Transformation Partnership"	.64887469	.55056308	-.50974806	.61022798	.12300581	3.4229144	"crude"	"ventilated"
"ventilated"	"26.stp"	"Sustainability and Transformation Partnership"	2.8318263	1.0531759	2.7988771	.00512807	1.3661514	5.8699498	"crude"	"ventilated"
"ventilated"	"27.stp"	"Sustainability and Transformation Partnership"	6.1977797	2.042484	5.5353846	3.105e-08	3.2487918	11.823618	"crude"	"ventilated"
"ventilated"	"28.stp"	"Sustainability and Transformation Partnership"	5.0786276	1.7604647	4.6879544	2.759e-06	2.5744491	10.018632	"crude"	"ventilated"
"ventilated"	"29.stp"	"Sustainability and Transformation Partnership"	4.8538794	1.5516028	4.9420206	7.732e-07	2.5941306	9.0820968	"crude"	"ventilated"
"ventilated"	"30.stp"	"Sustainability and Transformation Partnership"	2.5919112	.87172909	2.8317565	.00462931	1.3407205	5.0107412	"crude"	"ventilated"
"ventilated"	"31o.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"32o.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"ventilated"
"ventilated"	"_cons"	"Constant"	.60024626	.08438889	-3.6305117	.00028286	.45567862	.79067912	"crude"	"ventilated"
"ventilated"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"2.eth5"	"Eth 5 categories"	1.3056835	.17667374	1.9712073	.04870017	1.0015225	1.7022177	"model0"	"ventilated"
"ventilated"	"3.eth5"	"Eth 5 categories"	1.0663787	.19183526	.35725757	.72089899	.74952361	1.5171818	"model0"	"ventilated"
"ventilated"	"4.eth5"	"Eth 5 categories"	1.0577077	.30824376	.19251538	.84733852	.59745228	1.8725271	"model0"	"ventilated"
"ventilated"	"5.eth5"	"Eth 5 categories"	1.0972697	.27148586	.37517258	.70753212	.675631	1.782039	"model0"	"ventilated"
"ventilated"	"6.eth5"	"Eth 5 categories"	1.2099983	.12396303	1.8606241	.06279728	.98987435	1.4790724	"model0"	"ventilated"
"ventilated"	"0b.male"	"Male"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"1.male"	"Male"	1.3262413	.11555282	3.2406193	.0011927	1.1180443	1.5732077	"model0"	"ventilated"
"ventilated"	"age1"	"Age spline 1"	1.006679	.02635106	.25430823	.79925744	.95633441	1.059674	"model0"	"ventilated"
"ventilated"	"age2"	"Age spline 2"	1.0557184	.07187613	.79640607	.42579605	.92383838	1.2064245	"model0"	"ventilated"
"ventilated"	"age3"	"Age spline 3"	.77509816	.13734669	-1.4377365	.15050883	.54767707	1.0969551	"model0"	"ventilated"
"ventilated"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"	"ventilated"
"ventilated"	"2.stp"	"Sustainability and Transformation Partnership"	.80643738	.15074941	-1.1508376	.24979907	.55905349	1.1632899	"model0"	"ventilated"
"ventilated"	"3.stp"	"Sustainability and Transformation Partnership"	.60001332	.14783364	-2.0732011	.03815357	.37020178	.9724858	"model0"	"ventilated"
"ventilated"	"4.stp"	"Sustainability and Transformation Partnership"	2.5314703	1.0756137	2.1859429	.02881978	1.1007786	5.8216445	"model0"	"ventilated"
"ventilated"	"5.stp"	"Sustainability and Transformation Partnership"	.46122642	.1873592	-1.9050441	.05677433	.20803646	1.0225602	"model0"	"ventilated"
"ventilated"	"6.stp"	"Sustainability and Transformation Partnership"	1.0174606	.21302581	.08267635	.93410889	.67499645	1.5336764	"model0"	"ventilated"
"ventilated"	"7.stp"	"Sustainability and Transformation Partnership"	1.6960211	1.2335417	.72634953	.46762452	.40769889	7.0554216	"model0"	"ventilated"
"ventilated"	"8.stp"	"Sustainability and Transformation Partnership"	3.1614032	.79184033	4.5954033	4.319e-06	1.9349888	5.1651309	"model0"	"ventilated"
"ventilated"	"9.stp"	"Sustainability and Transformation Partnership"	3.7976274	1.401406	3.6159863	.00029921	1.8424713	7.8275165	"model0"	"ventilated"
"ventilated"	"10.stp"	"Sustainability and Transformation Partnership"	3.51453	.91011679	4.8536991	1.212e-06	2.1156388	5.8383883	"model0"	"ventilated"
"ventilated"	"11.stp"	"Sustainability and Transformation Partnership"	4.6920077	1.2346616	5.8746377	4.238e-09	2.8013819	7.8585986	"model0"	"ventilated"
"ventilated"	"12.stp"	"Sustainability and Transformation Partnership"	2.3431632	.63137484	3.1601001	.00157715	1.3817925	3.9733996	"model0"	"ventilated"
"ventilated"	"13.stp"	"Sustainability and Transformation Partnership"	11.874863	4.3448465	6.7628265	1.353e-11	5.7967669	24.326037	"model0"	"ventilated"
"ventilated"	"14.stp"	"Sustainability and Transformation Partnership"	6.0948073	2.094459	5.259583	1.444e-07	3.1077607	11.952875	"model0"	"ventilated"
"ventilated"	"15.stp"	"Sustainability and Transformation Partnership"	2.0033502	.45478843	3.0606969	.00220823	1.2838735	3.1260181	"model0"	"ventilated"
"ventilated"	"16.stp"	"Sustainability and Transformation Partnership"	.70895657	.22510253	-1.0832993	.2786756	.38049815	1.320951	"model0"	"ventilated"
"ventilated"	"17.stp"	"Sustainability and Transformation Partnership"	6.7683088	2.2435303	5.7689021	7.979e-09	3.5344959	12.960831	"model0"	"ventilated"
"ventilated"	"18.stp"	"Sustainability and Transformation Partnership"	1.9174522	.39326106	3.1741161	.00150294	1.2827642	2.8661721	"model0"	"ventilated"
"ventilated"	"19.stp"	"Sustainability and Transformation Partnership"	3.3956256	.77631545	5.3471969	8.933e-08	2.169283	5.3152461	"model0"	"ventilated"
"ventilated"	"20.stp"	"Sustainability and Transformation Partnership"	2.687626	.51779523	5.1316495	2.872e-07	1.8423716	3.9206713	"model0"	"ventilated"
"ventilated"	"21.stp"	"Sustainability and Transformation Partnership"	4.6415272	.94863616	7.5107257	5.880e-14	3.1095116	6.9283469	"model0"	"ventilated"
"ventilated"	"22.stp"	"Sustainability and Transformation Partnership"	3.289477	1.8379056	2.1311619	.0330758	1.1003763	9.8335992	"model0"	"ventilated"
"ventilated"	"23.stp"	"Sustainability and Transformation Partnership"	1.4354837	.38545923	1.3462642	.17821732	.84807008	2.4297677	"model0"	"ventilated"
"ventilated"	"24.stp"	"Sustainability and Transformation Partnership"	4.636465	5.4010757	1.3167962	.18790696	.47272844	45.473904	"model0"	"ventilated"
